Date,Open,High,Low,Close,Volume
1/17/2014,0,29.66,29.66,29.66,0
1/20/2014,31.14,31.14,31.14,31.14,1000
1/21/2014,32.69,32.69,32.69,32.69,2500
1/22/2014,34.32,34.32,34.32,34.32,2000
1/23/2014,36.03,36.03,36.03,36.03,12500
1/24/2014,37.83,37.83,37.83,37.83,3500
1/27/2014,39.72,39.72,39.72,39.72,439500
1/28/2014,41.7,41.7,41.7,41.7,398500
1/29/2014,43.78,43.78,43.78,43.78,245000
1/30/2014,45.96,45.96,45.96,45.96,287500
1/31/2014,48.25,48.25,46,48.25,17304500
2/3/2014,49,49.95,48.2,48.48,6873000
2/4/2014,48.5,48.5,46.35,47,7790500
2/6/2014,47.3,47.75,46.4,46.77,3698500
2/7/2014,46.51,49.1,46.51,49.09,13869000
2/10/2014,49.98,51.15,48.4,49.28,12825500
2/11/2014,49.55,51.74,49.5,51.46,11465000
2/12/2014,52.99,54.03,52.8,54.03,1926500
2/13/2014,56.73,56.73,55.51,56.73,6789500
2/14/2014,57.9,59.49,54.01,55.35,17495500
2/17/2014,54.52,55.98,53.6,54.14,8418500
2/18/2014,54.3,54.88,52.1,53.16,7801500
2/19/2014,53.4,54.85,53.4,54.13,7343500
2/20/2014,54.26,54.7,53.2,54.15,4057000
2/21/2014,54.43,56.85,54,56.85,8030000
2/24/2014,59,59.69,58.48,59.69,6038000
2/25/2014,60.5,60.85,58.11,59.04,11860000
2/26/2014,59,61.38,58.8,59.96,8349000
2/27/2014,60.25,60.98,59.05,59.73,4092000
2/28/2014,60.14,60.99,59.01,59.63,7973000
3/3/2014,60.21,60.39,56.65,56.67,6256500
3/4/2014,55.55,56.56,54.55,55.76,6946000
3/5/2014,56.28,56.98,56.05,56.31,3902500
3/6/2014,56.7,57.64,56.4,57.38,5195500
3/7/2014,57.99,58.18,56.8,57.13,3966000
3/10/2014,57.48,57.5,56,56.33,3160000
3/11/2014,56.6,57.95,56.4,57.17,5772500
3/12/2014,57.4,59.75,57.1,59.06,15260500
3/13/2014,59.85,60.49,58.02,58.29,4903000
3/14/2014,58.5,59.1,57.5,57.82,2837500
3/17/2014,57.82,58.24,57.25,57.53,1536000
3/18/2014,57.25,57.9,57.05,57.14,1206000
3/19/2014,57.35,57.98,56.7,56.92,2872500
3/20/2014,57.18,57.89,56.76,57.19,3168500
3/21/2014,57.25,57.65,56.5,56.83,3089000
3/24/2014,56.9,57.19,56.2,56.58,1973000
3/25/2014,56.95,59.4,56.95,59.4,6523000
3/26/2014,60,60.99,59.6,59.91,12308500
3/27/2014,60,60.48,59.11,59.57,4598000
3/28/2014,59.35,59.6,58.75,58.82,1952500
3/31/2014,58.8,60,58.4,59.7,2299000
4/1/2014,60.2,62.45,60.2,60.84,9202500
4/2/2014,61,61.25,60.5,60.6,2532000
4/3/2014,60.79,61.85,60.75,61.51,5776500
4/4/2014,61.74,62.3,60.91,61.22,3171000
4/7/2014,61.55,62.08,60.95,61.2,2938500
4/8/2014,61.5,64.26,61.45,63.66,11756500
