Date,Open,High,Low,Close,Volume
1/1/2001,41.1,41.8,40.9,41.7,1912200
1/2/2001,41.7,43.2,42,42.35,3851400
1/3/2001,42.35,45.6,42.45,45.6,11413800
1/4/2001,45.6,46.5,44.9,45,8460800
1/5/2001,45,46.6,44.95,45.75,7512500
1/8/2001,45.75,47.25,45.5,45.5,13255700
1/9/2001,45.5,46.2,44.9,45.55,7977400
1/10/2001,45.55,46.6,45,46.3,13924900
1/11/2001,46.3,46.85,45.7,46.3,14420200
1/12/2001,46.3,46.6,45,45.15,6223800
1/15/2001,45.15,45.25,43.85,44,4808900
1/16/2001,44,44.6,43.45,44.35,4757400
1/17/2001,44.35,45.4,43.6,45.4,8109400
1/18/2001,45.4,45.9,45,45.2,7698500
1/19/2001,45.2,46.85,45.15,46.75,10666000
1/22/2001,46.75,47.85,46.6,46.8,374800
1/23/2001,46.8,47.55,46.65,47.5,209900
1/24/2001,47.5,47.7,47,47.1,181200
1/25/2001,47.1,47.3,46.8,46.8,248000
1/26/2001,46.8,46.9,46.5,46.8,113800
1/29/2001,46.8,47,46.5,46.6,123300
1/30/2001,46.6,48.5,45.85,48.4,895500
1/31/2001,48.4,49,48.1,48.2,1007100
2/1/2001,48.2,49.1,48.4,49,824300
2/2/2001,49,50.25,49,50,690200
2/6/2001,48,49.35,47.75,47.9,10665300
2/7/2001,47.9,48,46.95,47.15,3718100
2/8/2001,47.15,47.45,46.55,46.9,4608200
2/9/2001,46.9,47.35,46.25,46.7,4348000
2/12/2001,46.7,47.55,46.4,47.2,7037200
2/13/2001,47.2,47.7,46.75,46.8,4950700
2/14/2001,46.8,47.2,46.4,46.85,2569300
2/15/2001,46.85,46.95,46,46.1,3439400
2/16/2001,46.1,47,45.75,46.95,6742500
2/19/2001,46.95,47.45,46.6,46.85,2801100
2/20/2001,46.85,46.95,45.35,45.35,4393500
2/21/2001,45.35,45.55,43.9,44.95,4003900
2/22/2001,44.95,45.35,44.3,44.4,2690200
2/23/2001,44.4,44.4,42.15,42.6,3110900
2/26/2001,42.6,42.25,40.65,41.35,4794500
2/27/2001,41.35,42.7,41.4,42.65,4129100
2/28/2001,42.65,42.55,41.45,41.85,4030600
3/1/2001,41.85,41.85,41,41.6,2304400
3/2/2001,41.6,42.15,41.35,42,3064100
3/9/2001,42,42.05,41.4,41.5,1275700
3/12/2001,41.5,41.4,40.75,40.75,1571400
3/13/2001,40.75,41.1,40.45,41,1220500
3/14/2001,41,41.2,40.7,40.8,829900
3/15/2001,40.8,41,40.1,40.1,1390400
3/16/2001,40.1,40.35,39.7,39.85,894300
3/19/2001,39.85,40.25,39.65,39.65,1060400
3/20/2001,39.65,40.4,39.65,40.25,1769200
3/21/2001,40.25,40.5,39.9,39.9,1238400
3/22/2001,39.9,40,38.95,39.15,1578400
3/26/2001,39.15,39.2,38.7,38.8,733300
3/27/2001,38.8,39.8,38.75,39.8,2164900
3/28/2001,39.8,39.9,39.25,39.3,939900
3/29/2001,39.3,39.45,38.85,39.15,809000
3/30/2001,39.15,40.25,38.4,39.85,2268800
4/2/2001,39.85,40.2,39.15,39.9,1489900
4/3/2001,39.9,40.45,39.8,39.85,1191300
4/6/2001,39.85,40,39.5,39.7,587200
4/9/2001,39.7,40.25,39.6,40.1,859600
4/10/2001,40.1,40.35,39.8,39.85,749900
4/11/2001,39.85,40.15,39.75,40.05,444300
4/12/2001,40.05,40.6,39.9,40.6,1283900
4/13/2001,40.6,41.15,40.35,40.95,2340400
4/16/2001,40.95,41.95,41.05,41.35,3393100
4/17/2001,41.35,42.65,41.3,42.3,5716200
4/18/2001,42.3,42.75,42,42.2,5330300
4/19/2001,42.2,42.85,41.65,41.75,5103500
4/20/2001,41.75,42.6,41.75,42.05,2844700
4/23/2001,42.05,43.1,42.15,42.4,3797800
4/24/2001,42.4,42.55,41.7,41.9,3228900
4/25/2001,41.9,42.45,41.7,42.25,1922800
4/26/2001,42.25,42.45,42.1,42.25,1109600
4/27/2001,42.25,42.4,41.65,41.75,1381300
4/30/2001,41.75,42.15,41.7,42.05,791400
5/2/2001,42.05,42.65,42.1,42.65,3055800
5/3/2001,42.65,42.75,42.4,42.5,1200600
5/4/2001,42.5,42.55,42.25,42.5,1006400
5/7/2001,42.5,43.15,42.5,43.1,3354100
5/8/2001,43.1,43.1,42.15,42.15,3830500
5/9/2001,42.15,42.2,41.5,42,2812500
5/10/2001,42,42.1,41.7,41.85,1170000
5/11/2001,41.85,42.05,41.6,41.9,2260800
5/14/2001,41.9,42.2,41.35,41.8,2052300
5/15/2001,41.8,42.15,41.55,41.85,1296900
5/16/2001,41.85,43.5,42.45,43.4,9176200
5/17/2001,43.4,43.75,43.2,43.45,3666500
5/18/2001,43.45,43.85,43.15,43.35,2539400
5/21/2001,43.35,43.6,43.25,43.55,585600
5/22/2001,43.55,43.9,43.5,43.5,1884300
5/23/2001,43.5,43.7,43.05,43.15,2106200
5/24/2001,43.15,43.7,43.15,43.65,1683700
5/25/2001,43.65,43.8,43.6,43.75,1569100
5/28/2001,43.75,44,43.5,43.95,133300
5/29/2001,43.95,44.2,43.9,44.1,191700
5/30/2001,44.1,44.65,43.6,43.6,491300
5/31/2001,43.6,43.6,43.1,43.1,519200
6/1/2001,43.1,44.35,43.25,43.85,304200
6/4/2001,43.85,44.95,44,44.95,640100
6/6/2001,39.95,41.2,38.5,38.75,13552100
6/7/2001,38.75,39.2,38.05,38.5,5514400
6/8/2001,38.5,38.5,36.8,36.8,7730900
6/11/2001,36.8,36.95,35.85,36.85,3079300
6/12/2001,36.85,37.25,36.85,37,2324200
6/13/2001,37,37.15,36.7,37.1,2045300
6/14/2001,37.1,37.95,37.15,37.45,4860500
6/15/2001,37.45,37.7,37.15,37.45,2719600
6/18/2001,37.45,37.6,37,37.4,1741200
6/19/2001,37.4,37.45,36.7,36.75,1780200
6/20/2001,36.75,37,36.2,36.8,2183600
6/21/2001,36.8,37,36.35,36.5,1509200
6/22/2001,36.5,36.5,35.9,36,2193600
6/25/2001,36,36.4,35.55,35.75,2938100
6/26/2001,35.75,35.85,35.2,35.5,2052800
6/27/2001,35.5,35.55,34.8,35.1,5459500
6/28/2001,35.1,36.2,34.95,36.2,6576500
6/29/2001,36.2,36.35,35.5,35.6,2837400
7/3/2001,35.6,35.55,35,35.1,1767100
7/4/2001,35.1,35.6,35.15,35.35,1400900
7/5/2001,35.35,35.4,34.7,34.95,1555200
7/6/2001,34.95,35,34.45,34.7,1180400
7/9/2001,34.7,35.2,34.6,34.65,921100
7/10/2001,34.65,35.05,34.65,34.8,840400
7/11/2001,34.8,35.35,34.3,35.15,1643500
7/12/2001,35.15,35.75,35.05,35.6,2217800
7/13/2001,35.6,35.85,35.3,35.4,1402200
7/16/2001,35.4,36.3,35.65,35.85,3693800
7/17/2001,35.85,35.6,34.8,34.9,3220100
7/18/2001,34.9,35.45,34.95,35.45,1475200
7/19/2001,35.45,35.6,35.3,35.4,1097600
7/20/2001,35.4,35.45,35,35.15,1310000
7/23/2001,35.15,35.35,34.85,35.25,1285400
7/24/2001,35.25,35.6,35.2,35.55,1109200
7/25/2001,35.55,35.6,35.2,35.2,637300
7/26/2001,35.2,35.25,34.95,35.05,841000
7/27/2001,35.05,35.1,34.6,34.8,1304700
7/30/2001,34.8,34.75,34.25,34.65,647500
7/31/2001,34.65,35.35,34.5,35,2731700
8/1/2001,35,35.65,34.8,35.5,1698800
8/2/2001,35.5,35.9,35.35,35.65,1244000
8/3/2001,35.65,36.15,35.65,36,1270000
8/6/2001,36,36.5,35.95,35.95,1523000
8/7/2001,35.95,36.1,35.7,35.9,618300
8/8/2001,35.9,35.95,35.5,35.8,1133100
8/9/2001,35.8,36,35.6,35.65,588300
8/10/2001,35.65,35.75,35.2,35.4,1448400
