Date,Open,High,Low,Close,Volume
1/1/2001,8.75,8.3,8,8.25,23500
1/2/2001,8.25,8.75,8.3,8.4,70000
1/3/2001,8.4,8.6,8.25,8.6,45500
1/4/2001,8.6,8.5,8.25,8.45,14500
1/5/2001,8.45,8.5,8.3,8.45,48000
1/8/2001,8.45,8.55,8.45,8.45,9000
1/9/2001,8.45,8.15,7.8,8.15,53000
1/10/2001,8.15,8.25,7.75,8.15,68500
1/11/2001,8.15,8.25,7.75,8.1,72000
1/12/2001,8.1,8.05,7.8,7.9,38500
1/15/2001,7.9,8.05,8.05,8.05,10000
1/16/2001,8.05,8.05,7.95,8,36000
1/17/2001,8,8.25,8,8.25,17500
1/18/2001,8.25,8.5,8,8.4,61500
1/19/2001,8.4,8.25,8.05,8.05,17500
1/22/2001,8.05,8.5,8.1,8.35,63500
1/23/2001,8.35,8.5,8.4,8.5,34500
1/24/2001,8.5,8.35,8.15,8.15,26000
1/25/2001,8.15,8.5,8.15,8.3,47000
1/26/2001,8.3,8.5,8.25,8.45,36500
1/29/2001,8.45,8.75,8.15,8.45,40500
1/30/2001,8.45,9.05,8.1,9.05,278500
1/31/2001,9.05,9.4,8.5,9.35,214000
2/1/2001,9.35,9.5,9.2,9.2,76000
2/2/2001,9.2,9.3,9.2,9.2,46000
2/6/2001,9.2,9.35,8.65,9.25,60000
2/7/2001,9.25,10.4,9.2,10,402000
2/8/2001,10,10.4,9.35,10,353000
2/9/2001,10,10.55,10,10.25,350000
2/12/2001,10.25,10.5,10.15,10.2,321500
2/13/2001,10.2,10.35,10.05,10.2,227000
2/14/2001,10.2,10.25,10.1,10.15,164000
2/15/2001,10.15,10.3,10.1,10.2,117000
2/16/2001,10.2,10.4,10.1,10.15,172500
2/19/2001,10.15,10.4,10,10,49500
2/20/2001,10,10.05,9.85,9.85,43000
2/21/2001,9.85,10,9.15,9.6,58500
2/22/2001,9.6,9.85,9.3,9.6,43500
2/23/2001,9.6,9.55,9,9,66500
2/26/2001,9,9.1,8.65,8.8,30000
2/27/2001,8.8,9,8.65,9,23000
2/28/2001,9,8.85,8.8,8.8,16000
3/1/2001,8.8,8.75,8.4,8.45,42500
3/2/2001,8.45,8.9,8.35,8.35,38000
3/9/2001,8.35,8.5,8.25,8.25,25000
3/12/2001,8.25,8.1,8.05,8.05,3000
3/13/2001,8.05,8.35,8.15,8.35,24000
3/14/2001,8.35,8.25,8.25,8.25,6000
3/15/2001,8.25,8.3,8.25,8.3,5000
3/16/2001,8.3,8.25,8.25,8.25,500
3/19/2001,8.25,8.15,8.15,8.15,500
3/20/2001,8.15,8.3,8.25,8.25,4000
3/21/2001,8.25,8.25,8.25,8.25,500
3/22/2001,8.25,8.25,8.05,8.05,6000
3/26/2001,8.05,8.1,8.1,8.1,5000
3/27/2001,8.1,8.5,8.1,8.5,10500
3/29/2001,8.5,8.2,8.2,8.2,500
3/30/2001,8.2,8.05,7.9,7.9,22000
4/2/2001,7.9,8.1,8,8,12000
4/3/2001,8,8.15,8.15,8.15,1000
4/10/2001,8.15,8.15,8.05,8.15,8500
4/11/2001,8.15,8.15,8,8.15,2000
4/12/2001,8.15,8.1,8.1,8.1,1500
4/13/2001,8.1,8.15,8.1,8.1,2500
4/16/2001,8.1,8.4,8.25,8.25,3500
4/18/2001,8.25,8.4,8.1,8.1,2000
4/19/2001,8.1,9,8,8,49000
4/20/2001,8,8,7.95,8,3500
4/23/2001,8,8.05,7.8,7.8,11000
4/24/2001,7.8,8,7.8,8,4500
4/25/2001,8,7.8,7.75,7.75,15000
4/26/2001,7.75,7.9,7.75,7.9,1000
4/27/2001,7.9,7.9,7.8,7.8,8500
5/2/2001,7.8,7.8,7.8,7.8,500
5/3/2001,7.8,8,7.8,8,10000
5/4/2001,8,7.8,7.75,7.75,8000
5/7/2001,7.75,7.8,7.65,7.8,2500
5/8/2001,7.8,7.85,7.75,7.85,1000
5/9/2001,7.85,8,7.9,8,15500
5/10/2001,8,7.8,7.7,7.7,2500
5/11/2001,7.7,8,7.65,8,13500
5/14/2001,8,7.9,7.9,7.9,500
5/15/2001,7.9,8,7.85,7.85,8000
5/16/2001,7.85,8,7.9,8,20000
5/17/2001,8,7.9,7.8,7.9,1500
5/18/2001,7.9,7.9,7.65,7.7,11500
5/21/2001,7.7,7.9,7.7,7.9,4500
5/22/2001,7.9,8.1,7.85,7.85,12500
5/23/2001,7.85,7.8,7.55,7.6,192500
5/24/2001,7.6,7.75,7.65,7.7,18000
5/25/2001,7.7,7.7,7.6,7.6,21000
5/28/2001,7.6,7.8,7.7,7.8,18500
5/30/2001,7.8,8.1,7.8,8,258500
5/31/2001,8,8,7.9,8,32500
6/1/2001,8,8,7.8,7.85,88000
6/4/2001,7.85,8.15,7.95,8.1,289500
6/6/2001,8.1,8.45,8,8,92000
6/7/2001,8,8,7.85,7.85,20500
6/8/2001,7.85,7.9,7.7,7.7,2471000
6/11/2001,7.7,8,7.75,7.95,12500
6/12/2001,7.95,8,7.85,7.85,17000
6/13/2001,7.85,8.05,7.9,8,143500
6/14/2001,8,8.05,7.95,8,66000
6/15/2001,8,8.05,7.95,8.05,284000
6/18/2001,8.05,8.25,7.9,8,221000
6/19/2001,8,8.15,7.8,7.8,140000
6/20/2001,7.8,7.85,7.75,7.85,4500
6/21/2001,7.85,7.85,7.55,7.6,87000
