Year,Sector,Product,Amount,Note: Value in Millions
1999,Agriculture,Important Crops,322835,
2000,Agriculture,Important Crops,315037,
2001,Agriculture,Important Crops,296705,
2002,Agriculture,Important Crops,344271,
2003,Agriculture,Important Crops,420938,
2004,Agriculture,Important Crops,457230,
2005,Agriculture,Important Crops,449025,
2006,Agriculture,Important Crops,514579,
2007,Agriculture,Important Crops,690748,
2008,Agriculture,Important Crops,985311,
2009,Agriculture,Important Crops,1058365,
2010,Agriculture,Important Crops,1532889,
2011,Agriculture,Important Crops,1236453,
2012,Agriculture,Important Crops,1411388,
2013,Agriculture,Important Crops,1760329,
2014,Agriculture,Important Crops,1735888,
2015,Agriculture,Important Crops,1718029,
2016,Agriculture,Important Crops,1827252,
2017,Agriculture,Important Crops,1890526,
2018,Agriculture,Important Crops,1778254,
1999,Agriculture,Other crops,186561,
2000,Agriculture,Other crops,189530,
2001,Agriculture,Other crops,195036,
2002,Agriculture,Other crops,192036,
2003,Agriculture,Other crops,205434,
2004,Agriculture,Other crops,247511,
2005,Agriculture,Other crops,256777,
2006,Agriculture,Other crops,293478,
2007,Agriculture,Other crops,333499,
2008,Agriculture,Other crops,392163,
2009,Agriculture,Other crops,423866,
2010,Agriculture,Other crops,552499,
2011,Agriculture,Other crops,586669,
2012,Agriculture,Other crops,639078,
2013,Agriculture,Other crops,695138,
2014,Agriculture,Other crops,769867,
2015,Agriculture,Other crops,739842,
2016,Agriculture,Other crops,811971,
2017,Agriculture,Other crops,873557,
2018,Agriculture,Other crops,873215,
1999,Agriculture,Cotton Grinning,42620,
2000,Agriculture,Cotton Grinning,46966,
2001,Agriculture,Cotton Grinning,43064,
2002,Agriculture,Cotton Grinning,49470,
2003,Agriculture,Cotton Grinning,62513,
2004,Agriculture,Cotton Grinning,60650,
2005,Agriculture,Cotton Grinning,60472,
2006,Agriculture,Cotton Grinning,62933,
2007,Agriculture,Cotton Grinning,73744,
2008,Agriculture,Cotton Grinning,83239,
2009,Agriculture,Cotton Grinning,122585,
2010,Agriculture,Cotton Grinning,224129,
2011,Agriculture,Cotton Grinning,143488,
2012,Agriculture,Cotton Grinning,142087,
2013,Agriculture,Cotton Grinning,157467,
2014,Agriculture,Cotton Grinning,184347,
2015,Agriculture,Cotton Grinning,162519,
2016,Agriculture,Cotton Grinning,187240,
2017,Agriculture,Cotton Grinning,199946,
2018,Agriculture,Cotton Grinning,172941,
1999,Agriculture,Livestock,467044,
2000,Agriculture,Livestock,497101,
2001,Agriculture,Livestock,530708,
2002,Agriculture,Livestock,572367,
2003,Agriculture,Livestock,667685,
2004,Agriculture,Livestock,805914,
2005,Agriculture,Livestock,930842,
2006,Agriculture,Livestock,1058801,
2007,Agriculture,Livestock,1195466,
2008,Agriculture,Livestock,1417555,
2009,Agriculture,Livestock,1717446,
2010,Agriculture,Livestock,2131579,
2011,Agriculture,Livestock,2610408,
2012,Agriculture,Livestock,2933384,
2013,Agriculture,Livestock,3129682,
2014,Agriculture,Livestock,3612244,
2015,Agriculture,Livestock,3846646,
2016,Agriculture,Livestock,4180531,
2017,Agriculture,Livestock,4615565,
2018,Agriculture,Livestock,5100770,
1999,Agriculture,Forestry,29767,
2000,Agriculture,Forestry,33477,
2001,Agriculture,Forestry,32416,
2002,Agriculture,Forestry,36944,
2003,Agriculture,Forestry,39726,
2004,Agriculture,Forestry,29789,
2005,Agriculture,Forestry,35067,
2006,Agriculture,Forestry,41719,
2007,Agriculture,Forestry,53061,
2008,Agriculture,Forestry,65526,
2009,Agriculture,Forestry,72423,
2010,Agriculture,Forestry,89390,
2011,Agriculture,Forestry,113103,
2012,Agriculture,Forestry,136500,
2013,Agriculture,Forestry,153722,
2014,Agriculture,Forestry,142902,
2015,Agriculture,Forestry,170706,
2016,Agriculture,Forestry,172578,
2017,Agriculture,Forestry,183196,
2018,Agriculture,Forestry,199643,
1999,Agriculture,Fishing,38213,
2000,Agriculture,Fishing,37684,
2001,Agriculture,Fishing,36894,
2002,Agriculture,Fishing,33758,
2003,Agriculture,Fishing,35707,
2004,Agriculture,Fishing,35111,
2005,Agriculture,Fishing,43163,
2006,Agriculture,Fishing,42807,
2007,Agriculture,Fishing,47009,
