Date,Open,High,Low,Close,Volume
3/12/2007,10,19.25,16.1,17.85,8463500
3/13/2007,17.85,18.3,17.65,17.65,4435500
3/14/2007,17.65,17.4,16.65,16.65,2149500
3/15/2007,16.65,16.6,15.65,15.75,7647000
3/16/2007,15.75,16.5,15.85,16,4422000
3/19/2007,16,16.15,15,15,7364000
3/20/2007,15,15.05,14.1,14.6,4993000
3/21/2007,14.6,14.8,14,14.1,2830500
3/22/2007,14.1,14.2,13.9,14,1072000
3/26/2007,14,14.1,13.45,13.45,925500
3/27/2007,13.45,14.1,13.35,13.6,2478500
3/28/2007,13.6,13.8,12.6,13.05,5256000
3/29/2007,13.05,13.25,12.85,12.95,2365000
3/30/2007,12.95,13.15,12.95,13,1181000
4/2/2007,13,13.15,12.8,13,775500
4/3/2007,13,13.1,12.9,13,956000
4/4/2007,13,13.75,13,13.35,4946000
4/5/2007,13.35,14.35,13.4,14.35,6948000
4/6/2007,14.35,14.9,14.4,14.65,5863000
4/9/2007,14.65,14.7,14.15,14.25,2234500
4/10/2007,14.25,14.5,14,14,2055000
4/11/2007,14,14.3,13.75,13.75,2926000
4/12/2007,13.75,14.05,13.75,13.95,1784500
4/13/2007,13.95,14,13.7,14,973000
4/16/2007,14,14.1,13.9,13.95,1442000
4/17/2007,13.95,14.05,13.7,13.8,1350500
4/18/2007,13.8,14,13.8,13.85,1763000
4/19/2007,13.85,13.9,13.65,13.75,946500
4/20/2007,13.75,13.9,13.6,13.7,825500
4/23/2007,13.7,13.9,13.6,13.85,846500
4/24/2007,13.85,13.9,13.45,13.6,2132500
4/25/2007,13.6,13.6,13.1,13.25,1808500
4/26/2007,13.25,13.25,13.05,13.15,1354000
4/27/2007,13.15,13.9,13.2,13.55,2522500
4/30/2007,13.55,13.85,13.55,13.8,1658000
5/2/2007,13.8,14.15,13.6,13.6,2374000
5/3/2007,13.6,13.9,13.6,13.6,1391500
5/4/2007,13.6,13.8,13.5,13.55,1238000
5/7/2007,13.55,13.6,12.85,13,2289500
5/8/2007,13,13.3,12.9,13.1,1141500
5/9/2007,13.1,13.3,13.05,13.2,1538500
5/10/2007,13.2,14.05,13.1,13.8,5907000
5/11/2007,13.8,14.55,13.65,14.35,8948500
