Date,Open,High,Low,Close,Volume
2/18/2002,18.2,18.9,16.75,16.75,6279000
2/19/2002,16.75,17.9,16.5,17.75,4037000
2/20/2002,17.75,18,17.45,17.6,1413000
2/21/2002,17.6,18.25,17.25,17.7,5450500
2/26/2002,17.7,18.15,17.55,17.6,3653000
2/27/2002,17.6,17.85,17.4,17.65,2149000
2/28/2002,17.65,17.9,17.1,17.4,2185500
3/1/2002,17.4,18.05,17.4,17.6,4220500
3/4/2002,17.6,17.95,17.4,17.5,1938000
3/5/2002,17.5,17.8,17.5,17.65,1807500
3/6/2002,17.65,19.15,17.75,19.15,16142500
3/7/2002,19.15,20.6,19.7,20.6,5415000
3/8/2002,20.6,22.1,21.1,22.05,13337500
3/11/2002,22.05,22.7,21.7,22.25,11184000
3/12/2002,22.25,23.9,21.95,23.9,17411000
3/13/2002,23.9,24.9,23.05,23.45,13962500
3/14/2002,23.45,24.4,23.7,23.75,6436000
3/15/2002,23.75,23.9,22,22.4,5597500
3/18/2002,22.4,22.9,21.3,21.95,5016000
3/19/2002,21.95,23,21.7,23,6392500
3/20/2002,23,23.25,22.1,22.35,5270500
3/21/2002,22.35,22.4,21.95,22.25,2575000
3/22/2002,22.25,23.05,22.25,22.95,9957500
3/26/2002,22.95,23.05,22,22.7,11465000
3/27/2002,22.7,23.15,22.2,22.4,8037000
3/28/2002,22.4,23.4,22.15,23.25,9183000
3/29/2002,23.25,23.85,23.1,23.2,8026500
4/1/2002,23.2,23.55,22.6,22.7,4508000
4/2/2002,22.7,23.35,22.4,22.65,5883500
4/3/2002,22.65,23.4,22.85,22.95,6566500
4/4/2002,22.95,23.4,22.6,22.75,3925000
4/5/2002,22.75,22.9,22.5,22.7,2144500
4/8/2002,22.7,23.2,22.65,23,4283500
4/9/2002,23,23.4,23,23.05,4263500
4/10/2002,23.05,23.15,22.3,22.55,3941000
4/11/2002,22.55,23.2,22.55,23.2,6387000
4/12/2002,23.2,23.5,23.15,23.15,4839500
4/15/2002,23.15,23.4,23.15,23.35,2342500
4/16/2002,23.35,23.7,23.35,23.4,4318000
4/17/2002,23.4,23.6,22.95,23,3750000
4/18/2002,23,24.1,23.05,24,13256000
4/19/2002,24,24.3,23.65,23.95,7810500
4/22/2002,23.95,24.25,23.85,24,2649500
4/23/2002,24,24.35,23.9,24.05,2974500
4/24/2002,24.05,24,22.25,22.3,11143000
4/25/2002,22.3,22.55,21.65,21.75,5568500
4/26/2002,21.75,22.1,20.15,20.2,4237500
4/29/2002,20.2,21.7,20.2,21.7,5504000
4/30/2002,21.7,22.25,21.2,21.4,6410000
5/2/2002,21.4,21.6,20.9,21.15,1781000
5/3/2002,21.15,21.75,21.1,21.5,5135500
5/6/2002,21.5,21.6,20.3,20.8,7025000
5/7/2002,20.8,20.95,20.3,20.55,3355000
5/8/2002,20.55,19.9,19.05,19.1,3335000
5/9/2002,19.1,19.75,18.95,19.65,3662500
5/10/2002,19.65,19.85,19,19.25,2412500
5/13/2002,19.25,19.25,18.7,19.1,1946000
5/14/2002,19.1,19.35,18.5,18.7,2553000
5/15/2002,18.7,18.5,18,18.5,2604000
5/16/2002,18.5,19.35,18.3,19.05,5009000
5/17/2002,19.05,18.8,18.15,18.5,1272000
5/20/2002,18.5,17.5,17,17,838500
5/21/2002,17,17,16,16,1014500
5/22/2002,16,16.25,15,15,1454500
5/24/2002,15,16.5,15.45,16.5,1100500
5/27/2002,16.5,17.95,16.8,17.25,1622500
5/28/2002,17.25,16.85,16.75,16.75,214000
5/29/2002,16.75,17.2,16.4,17.05,996500
5/30/2002,17.05,17.25,16.55,16.55,837000
5/31/2002,16.55,16.65,16.15,16.3,455500
6/3/2002,16.3,16.15,15.85,15.95,147500
6/4/2002,15.95,16.85,15.9,16.25,1403000
6/5/2002,16.25,17.25,16.3,17.15,2655500
6/6/2002,17.15,18.6,16.8,18.55,14428000
6/7/2002,18.55,18.9,18.15,18.55,5532500
6/10/2002,18.55,20,19.1,19.9,11394500
6/11/2002,19.9,20.15,19.4,19.5,4456500
6/12/2002,19.5,20.15,19.35,19.75,5935000
6/13/2002,19.75,20.2,19.3,20.1,5645000
6/14/2002,20.1,20.4,19.7,20.1,13499500
6/17/2002,20.1,20.65,19.8,19.9,4457000
6/18/2002,19.9,20.2,19.65,19.7,2948000
6/19/2002,19.7,19.8,19.3,19.35,1026000
6/20/2002,19.35,19.8,19.1,19.7,5145000
6/21/2002,19.7,20.15,19.45,19.65,4232500
6/24/2002,19.65,19.65,19.25,19.35,1370000
6/25/2002,19.35,19.8,19.2,19.7,3286000
6/26/2002,19.7,20.45,19.7,20.25,8644000
6/27/2002,20.25,20.6,20.1,20.55,6258500
6/28/2002,20.55,20.8,20.5,20.55,2487000
7/1/2002,20.55,21.15,20.7,21.05,4466500
7/2/2002,21.05,21.4,20.95,21.15,4153000
7/3/2002,21.15,21.85,21.15,21.55,8472000
7/4/2002,21.55,22.05,21.65,21.75,7143000
7/5/2002,21.75,21.85,21.45,21.65,1778000
7/8/2002,21.65,21.8,20.85,21,6292500
7/9/2002,21,20.95,20.15,20.15,2761000
7/10/2002,20.15,20.4,19.75,20.35,3220000
7/11/2002,20.35,20.4,19.8,20.2,1826500
7/12/2002,20.2,20.2,19.75,19.95,1429000
7/15/2002,19.95,19.8,18.95,18.95,1936500
7/16/2002,18.95,20.45,18.7,20.45,7812500
7/17/2002,20.45,21.7,20.55,21.3,6505000
7/18/2002,21.3,21.75,21.1,21.2,4293500
7/19/2002,21.2,21.55,20.95,21.35,4756500
7/22/2002,21.35,21.65,21.15,21.2,2652000
7/23/2002,21.2,21.45,20.85,21.3,1915000
7/24/2002,21.3,21.6,21.2,21.35,2430000
7/25/2002,21.35,21.7,21.3,21.35,3863000
7/26/2002,21.35,21.4,21,21.1,1731500
7/29/2002,21.1,21.35,21.1,21.25,158500
7/30/2002,21.25,21.35,21.15,21.25,210500
7/31/2002,21.25,21.65,21.05,21.65,715500
8/1/2002,21.65,21.6,21.45,21.5,75500
8/2/2002,21.5,21.9,21.1,21.3,186500
8/5/2002,20.05,20.2,19.7,20.05,1395500
8/6/2002,20.05,20.15,19.55,19.7,1976500
8/7/2002,19.7,20.2,19.65,20.05,1796000
8/8/2002,20.05,20.45,20.15,20.25,2356000
8/9/2002,20.25,20.35,20.05,20.25,1434000
8/12/2002,20.25,21.75,20.3,21.7,11085000
8/13/2002,21.7,22.6,21.3,22.2,9277000
8/15/2002,22.2,22.65,22.1,22.15,7504500
