Date,Open,High,Low,Close,Volume
1/30/2001,9,9,9,9,1000
2/26/2001,9,7.45,7,7,1500
3/2/2001,7,6.5,5,5,2500
3/12/2001,5,6,5.9,6,1000
4/2/2001,6,6,6,6,0
4/6/2001,6,4.8,4.75,4.8,10000
4/10/2001,4.8,5.5,5.5,5.5,500
4/26/2001,5.5,7,5.1,7,4500
5/17/2001,7,4.25,4,4,2000
5/18/2001,4,4.7,4.5,4.7,1000
5/21/2001,4.7,4.1,4.1,4.1,500
5/24/2001,4.1,4.65,4.5,4.65,3000
5/30/2001,4.65,5.5,5.25,5.5,3000
6/1/2001,5.5,5.5,5.5,5.5,5000
6/7/2001,5.5,5.9,5.7,5.9,1000
6/8/2001,5.9,5.9,5.9,5.9,500
7/4/2001,5.9,6,6,6,1000
8/20/2001,6,5,5,5,500
11/1/2001,5,5.25,5.25,5.25,500
1/2/2002,5.25,5.85,5.85,5.85,500
1/15/2002,5.85,5.85,5.55,5.55,1000
2/15/2002,5.55,6,6,6,1000
2/18/2002,6,5.5,5.5,5.5,1500
2/21/2002,5.5,5.5,5.5,5.5,1000
4/4/2002,5.5,4.75,4.75,4.75,0
4/5/2002,4.75,4.5,4.5,4.5,0
4/11/2002,4.5,4.25,4.25,4.25,0
4/12/2002,4.25,4,4,4,500
4/15/2002,4,4.05,4.05,4.05,4500
4/16/2002,4.05,4.2,4.2,4.2,0
4/17/2002,4.2,4.25,4.25,4.25,0
4/18/2002,4.25,4.25,4.25,4.25,1500
4/30/2002,4.25,5,5,5,500
5/3/2002,5,5.05,5.05,5.05,0
5/9/2002,5.05,5.75,5.5,5.75,3000
5/13/2002,5.75,5.75,5.75,5.75,2000
5/31/2002,5.75,6.25,6.25,6.25,500
6/10/2002,6.25,6.5,6.25,6.5,1500
7/1/2002,6.5,6.5,6.5,6.5,1000
7/9/2002,6.5,7,7,7,500
7/31/2002,7,7,7,7,500
8/1/2002,7,6.45,6.4,6.4,2000
8/15/2002,6.4,7.85,5.85,7.85,500000
