Date,Open,High,Low,Close,Volume
8/17/2005,10,49,35,42.4,15000
8/19/2005,42.4,42.5,41.25,42.4,6500
8/22/2005,42.4,43.5,42.25,43,29000
8/23/2005,43,43,40.85,42.6,16500
8/24/2005,42.6,42.95,41.5,41.6,13000
8/25/2005,41.6,41.5,41.25,41.25,1500
8/26/2005,41.25,41,40.75,41,2500
8/29/2005,41,42.5,40,42.25,31500
8/30/2005,42.25,42.9,42.85,42.85,5000
8/31/2005,42.85,43.2,42,43.15,17000
9/1/2005,43.15,43.5,43,43.1,27500
9/2/2005,43.1,43.4,43,43,5500
9/5/2005,43,44.1,43,44,17500
9/6/2005,44,46.2,44,46.1,25500
9/7/2005,46.1,48.4,48,48.4,29000
9/8/2005,48.4,50.8,50.8,50.8,4500
9/9/2005,50.8,53.3,53.3,53.3,3500
9/12/2005,53.3,55.95,54,55.95,289500
9/13/2005,55.95,58.7,56.8,58.7,62000
9/14/2005,58.7,61.6,59.5,61.6,44000
9/15/2005,61.6,64.65,64,64.65,119000
9/16/2005,64.65,67.85,67,67.85,101500
9/19/2005,67.85,71.2,64.5,64.5,241500
9/20/2005,64.5,64.5,61.3,61.3,212500
9/21/2005,61.3,64.3,58.25,58.25,154000
9/22/2005,58.25,57.2,55.5,55.55,103000
9/23/2005,55.55,58.3,56.5,58.3,46500
9/26/2005,58.3,61.2,58,60.1,129000
9/27/2005,60.1,62.45,58.6,60,91500
9/28/2005,60,61,59.4,59.6,55000
9/29/2005,59.6,60.4,58.6,60,72500
9/30/2005,60,62,59,61,105500
10/3/2005,61,64.05,60.5,62.55,532500
10/4/2005,62.55,65.65,62.5,65.65,262000
10/5/2005,65.65,68.9,65.65,68.9,214000
10/6/2005,68.9,72,69.5,71,511500
10/7/2005,71,73,68.7,71.25,375500
10/10/2005,71.25,72.1,69,71.5,31500
10/11/2005,71.5,72.7,70.5,71,43500
10/12/2005,71,71.5,67.5,67.5,96500
10/13/2005,67.5,69,65.05,66.45,60500
10/14/2005,66.45,67.5,66.15,67,5500
10/17/2005,67,69.95,66,66,33000
10/18/2005,66,66.05,64,64,36500
10/19/2005,64,65,62.5,64.95,16500
10/20/2005,64.95,66.5,62,66.5,47000
10/21/2005,66.5,69.7,63.2,64.2,74500
10/24/2005,64.2,66,62.6,64,49500
10/25/2005,64,67.2,64.5,65.4,85500
10/26/2005,65.4,68,63.15,63.75,35000
10/27/2005,63.75,64,62.4,63.05,18000
10/31/2005,63.05,63.4,60,62.4,24000
11/2/2005,62.4,63.5,62,62.5,20000
11/7/2005,62.5,64,62,63,44500
11/8/2005,63,65.95,62.6,64.6,96500
11/10/2005,64.6,67.8,65.25,67.8,182500
11/11/2005,67.8,71.15,68.4,68.55,151500
11/14/2005,68.55,69.3,66.6,67.9,59000
11/15/2005,67.9,68.6,67.1,68.05,73500
11/16/2005,68.05,68.5,67,68,111000
11/17/2005,68,67.6,66.1,67,58000
11/18/2005,67,70.35,66.5,68.9,184500
11/21/2005,68.9,69.85,67.85,67.85,38000
11/22/2005,67.85,69.85,68.5,69,91000
11/23/2005,69,71.15,68.5,70,238000
11/24/2005,70,73.5,70,73.5,344000
11/25/2005,73.5,77.15,74,77,376000
11/28/2005,77,79,76.1,78,203000
11/29/2005,78,78.2,75.35,75.6,139000
11/30/2005,75.6,77,72.65,75.95,317000
12/1/2005,75.95,79.7,75.75,79.7,769000
12/2/2005,79.7,83.65,80.3,82.45,330000
12/5/2005,82.45,84.5,80.5,81.8,195000
12/6/2005,81.8,85.05,77.75,81.25,452500
12/7/2005,81.25,83,81.35,82,255500
12/8/2005,82,83,81,81,182000
12/9/2005,81,81.5,79.6,80.05,51000
12/12/2005,80.05,84.05,80.3,84.05,1521500
12/13/2005,84.05,88.25,85.5,87.45,1139000
12/14/2005,87.45,88.35,84.15,86.45,322000
12/15/2005,86.45,86.95,85.2,86.65,61500
12/16/2005,86.65,87,85,85.45,241000
12/19/2005,85.45,85.95,84,84.5,112500
12/20/2005,84.5,83.8,82.5,83,108000
12/21/2005,83,83.5,82.5,82.95,170000
12/22/2005,82.95,83.5,82,83.2,195500
12/23/2005,83.2,83.5,82,82.5,143000
12/26/2005,82.5,83,80.5,81.9,104000
12/27/2005,81.9,83.4,80.5,83,832000
12/28/2005,83,83.75,82.5,82.8,30000
12/29/2005,82.8,83.4,82.05,83.4,44000
12/30/2005,83.4,87,83.85,86.5,281500
1/2/2006,86.5,89.4,86.55,89.4,219000
1/3/2006,89.4,90.4,85,87.95,87500
1/4/2006,87.95,88.7,87.5,88.5,233500
1/5/2006,88.5,88.5,87.25,87.25,52500
1/6/2006,87.25,87.1,85.95,87,32500
1/9/2006,87,87,85.85,86.3,21500
1/16/2006,86.3,90.6,88.25,90.6,745000
1/17/2006,90.6,95.1,91,95,444000
1/18/2006,95,99,95.05,98.5,151500
1/19/2006,98.5,101.25,96.05,100.9,196000
1/20/2006,100.9,101.9,98,100,199000
1/23/2006,100,101,97.95,98.5,62500
1/24/2006,98.5,100,94,94,152000
1/25/2006,94,95,89.5,93,33000
1/26/2006,93,93.8,92,93.25,16000
1/27/2006,93.25,93.6,92,93,30000
1/30/2006,93,94,92.75,93.65,46000
1/31/2006,93.65,93.8,92,93.45,46500
2/1/2006,93.45,94.75,92,92.25,59000
2/2/2006,92.25,92.45,91,91,23000
