Date,Open,High,Low,Close,Volume
1/1/2001,15,15,14.8,14.85,228500
1/2/2001,14.85,15.5,15,15,633500
1/3/2001,15,15.35,14.9,15.2,457000
1/4/2001,15.2,15.3,15.05,15.1,344500
1/5/2001,15.1,15.15,14.85,14.95,339500
1/8/2001,14.95,15.05,14.8,14.8,254000
1/9/2001,14.8,14.85,14.55,14.75,240000
1/10/2001,14.75,14.75,14.5,14.7,216500
1/11/2001,14.7,14.6,14.4,14.4,94500
1/12/2001,14.4,14.4,14.15,14.25,178000
1/15/2001,14.25,14.3,13.85,13.85,167500
1/16/2001,13.85,14.2,13.9,14,230000
1/17/2001,14,14,13.8,14,166000
1/18/2001,14,14.2,13.8,13.85,197500
1/19/2001,13.85,13.75,13.3,13.45,488500
1/22/2001,13.45,13.85,13.55,13.65,326000
1/23/2001,13.65,13.75,13.55,13.75,371000
1/24/2001,13.75,13.8,13.65,13.75,99000
1/25/2001,13.75,13.75,13.65,13.7,141500
1/26/2001,13.7,13.85,13.6,13.75,220000
1/29/2001,13.75,13.85,13.65,13.7,133000
1/30/2001,13.7,14,13.7,14,178000
1/31/2001,14,15.15,14,15.1,1794000
2/1/2001,15.1,15.25,14.75,14.8,799500
2/2/2001,14.8,15.25,14.8,15.1,1052000
2/6/2001,15.1,15.4,15.15,15.2,730000
2/7/2001,15.2,15.55,15.2,15.5,1189500
2/8/2001,15.5,15.65,15.4,15.5,1379000
2/9/2001,15.5,15.85,15.45,15.85,1526000
2/12/2001,15.85,16.45,15.55,15.65,5954500
2/13/2001,15.65,15.75,15.25,15.3,1164500
2/14/2001,15.3,15.4,15.25,15.4,1164000
2/15/2001,15.4,15.6,15.3,15.3,566000
2/16/2001,15.3,15.45,15.15,15.25,512000
2/19/2001,15.25,15.35,15.15,15.3,158000
2/20/2001,15.3,15.3,15,15,256000
2/21/2001,15,15.25,14.95,15.1,351000
2/22/2001,15.1,15.15,15,15.05,249500
2/23/2001,15.05,15.1,14.75,14.85,390000
2/26/2001,14.85,14.75,14.5,14.65,137500
2/27/2001,14.65,14.75,14.55,14.75,86500
2/28/2001,14.75,14.7,14.5,14.55,147000
3/1/2001,14.55,14.75,14.5,14.7,134000
3/2/2001,14.7,14.75,14.6,14.65,123500
3/9/2001,14.65,14.7,14.5,14.5,74000
3/12/2001,14.5,14.55,14.45,14.45,79500
3/13/2001,14.45,14.5,14.25,14.45,116000
3/14/2001,14.45,14.65,14.5,14.6,182500
3/15/2001,14.6,14.5,14.3,14.35,53500
3/16/2001,14.35,14.5,14.35,14.5,48500
3/19/2001,12.38,12.65,12.38,12.4,78500
3/20/2001,12.4,12.5,11.5,12,153000
3/21/2001,12,12,11.75,11.85,58000
3/22/2001,11.85,11.8,11,11.6,141500
3/26/2001,11.6,11.65,11.35,11.55,37000
3/27/2001,11.55,11.6,11.4,11.6,81500
3/28/2001,11.6,11.7,11.4,11.45,64500
3/29/2001,11.45,11.5,11.35,11.4,60500
3/30/2001,11.4,11.6,11.3,11.3,67000
4/2/2001,11.3,11.55,11.4,11.55,38500
4/3/2001,11.55,11.9,11.5,11.6,220500
4/6/2001,11.6,12.2,11.65,11.85,200500
4/9/2001,11.85,12.1,11.8,11.9,143000
4/10/2001,11.9,12,11.9,11.95,171500
4/11/2001,11.95,12.15,11.95,12,131000
4/12/2001,12,12.15,11.95,12.1,158000
4/13/2001,12.1,12.3,12,12.25,247000
4/16/2001,12.25,12.6,12.25,12.3,365500
4/17/2001,12.3,12.4,12.15,12.3,140500
4/18/2001,12.3,12.6,12.3,12.5,247000
4/19/2001,12.5,12.6,12.25,12.3,212500
4/20/2001,12.3,12.5,12.3,12.4,171000
4/23/2001,12.4,12.55,12.35,12.45,78000
4/24/2001,12.45,12.45,12.25,12.25,70500
4/25/2001,12.25,12.35,12.2,12.25,79000
4/26/2001,12.25,12.65,12.25,12.55,490500
4/27/2001,12.55,12.75,12.4,12.4,209000
4/30/2001,12.4,12.5,12.4,12.45,52000
5/2/2001,12.45,12.6,12.35,12.5,165000
5/3/2001,12.5,12.6,12.45,12.55,187000
5/4/2001,12.55,12.55,12.4,12.55,70000
5/7/2001,12.55,12.55,12.5,12.55,32000
5/8/2001,12.55,12.6,12.4,12.4,77000
5/9/2001,12.4,12.45,12.25,12.25,69500
5/10/2001,12.25,12.35,12.1,12.2,89500
5/11/2001,12.2,12.4,12.2,12.4,88500
5/14/2001,12.4,12.4,12.1,12.25,88500
5/15/2001,12.25,12.3,12.2,12.25,55500
5/16/2001,12.25,12.5,12.25,12.35,158000
5/17/2001,12.35,12.4,12.25,12.25,44500
5/18/2001,12.25,12.4,12.25,12.35,53000
5/21/2001,12.35,12.5,12.35,12.5,69000
5/22/2001,12.5,12.45,12.4,12.4,50000
5/23/2001,12.4,12.4,12.3,12.3,63000
5/24/2001,12.3,12.5,12.3,12.5,65500
5/25/2001,12.5,12.45,12.35,12.4,60000
5/28/2001,12.4,12.55,12.45,12.5,38500
5/29/2001,12.5,12.6,12.55,12.55,71000
5/30/2001,12.55,13.2,12.55,13.05,570500
5/31/2001,13.05,13.05,12.85,13,130500
6/1/2001,13,13.25,12.85,13.1,343500
6/4/2001,13.1,14,13.2,13.7,1177500
6/6/2001,13.7,13.8,13.1,13.1,349500
6/7/2001,13.1,13.35,13.05,13.15,200000
6/8/2001,13.15,13.15,13,13.1,219000
6/11/2001,13.1,13.45,13.2,13.35,135000
6/12/2001,13.35,13.5,13.3,13.35,84000
6/13/2001,13.35,13.7,13.3,13.6,198500
6/14/2001,13.6,14.05,13.55,13.9,1402000
6/15/2001,13.9,14,13.8,13.9,215000
6/18/2001,13.9,14.15,13.85,13.9,642500
6/19/2001,13.9,14,13.4,13.55,623000
6/20/2001,13.55,13.9,13.5,13.7,217500
6/21/2001,13.7,13.75,13.3,13.55,283000
6/22/2001,13.55,13.4,13.25,13.3,108500
6/25/2001,13.3,13.5,13.2,13.3,54500
6/26/2001,13.3,13.5,13.05,13.2,322500
6/27/2001,13.2,13.25,13.1,13.2,45500
6/28/2001,13.2,13.25,13.15,13.15,52000
6/29/2001,13.15,13.15,12.9,12.9,141000
7/3/2001,12.9,13,12.85,12.85,80000
7/4/2001,12.85,13.05,12.75,12.8,241500
7/5/2001,12.8,12.9,12.65,12.7,58500
7/6/2001,12.7,12.65,12.4,12.5,129000
7/9/2001,12.5,12.7,12.5,12.5,44000
7/10/2001,12.5,12.6,12.45,12.55,64500
7/11/2001,12.55,12.65,12.45,12.55,70000
7/12/2001,12.55,12.75,12.5,12.7,133000
7/13/2001,12.7,12.75,12.55,12.6,89500
7/16/2001,12.6,12.8,12.75,12.75,52500
7/17/2001,12.75,12.6,12.45,12.5,60500
7/18/2001,12.5,12.55,12.4,12.4,74500
7/19/2001,12.4,12.5,12.35,12.4,81000
7/20/2001,12.4,12.4,11.9,11.95,297000
7/23/2001,11.95,12.05,11.85,11.9,171000
7/24/2001,11.9,12.05,11.9,12,338000
7/25/2001,12,12.05,11.75,11.75,231000
7/26/2001,11.75,11.85,11.7,11.75,152000
7/27/2001,11.75,11.85,11.65,11.8,98000
7/30/2001,11.8,11.85,11.65,11.8,62500
7/31/2001,11.8,11.9,11.6,11.7,117500
8/1/2001,11.7,12,11.7,11.95,104000
8/2/2001,11.95,12.25,11.85,12.25,160000
8/3/2001,12.25,12.35,12.2,12.2,128000
8/6/2001,12.2,12.5,12.3,12.35,131500
8/7/2001,12.35,12.4,12.3,12.3,61500
8/8/2001,12.3,12.3,12.2,12.2,34000
8/9/2001,12.2,12.25,12.2,12.2,14500
8/10/2001,12.2,12.25,12.15,12.25,23500
8/13/2001,12.25,12.6,12.4,12.55,94500
8/15/2001,12.55,12.6,12.45,12.45,47500
8/16/2001,12.45,12.95,12.6,12.8,325000
8/17/2001,12.8,13.2,12.9,12.95,178000
8/20/2001,12.95,13.2,12.85,12.85,215500
