Date,Open,High,Low,Close,Volume
3/7/2005,10,240,200,214.1,1674000
3/8/2005,214.1,219.7,205,208,1193200
3/9/2005,208,218,209,212,831900
3/10/2005,212,220,208.1,208.1,435900
3/11/2005,208.1,213,206,207,207200
3/14/2005,207,211.4,205,205,234900
3/15/2005,205,206.95,194.75,194.75,180800
3/16/2005,194.75,190,185.05,185.05,270400
3/17/2005,185.05,175.8,175.8,175.8,48300
3/18/2005,175.8,169.9,167.05,167.05,77600
3/21/2005,167.05,158.7,158.7,158.7,5600
3/22/2005,158.7,150.8,150.8,150.8,6200
3/24/2005,150.8,143.3,143.3,143.3,2800
3/25/2005,143.3,136.15,136.15,136.15,3200
3/28/2005,136.15,136.15,129.35,129.35,269800
3/29/2005,129.35,135.9,122.9,132.5,343000
3/30/2005,132.5,142.4,140.1,142.4,221900
3/31/2005,142.4,153.05,135.3,135.3,451700
4/1/2005,135.3,134.9,128.55,132.1,179000
4/4/2005,132.1,142,135.1,142,202700
4/5/2005,142,152.65,140.5,146.45,527100
4/6/2005,146.45,157.4,142.5,157.4,747700
4/7/2005,157.4,169,158,167.5,932300
4/8/2005,167.5,169.9,159.15,159.9,520900
4/11/2005,159.9,163.4,151.95,151.95,224200
4/12/2005,151.95,144.4,144.4,144.4,4300
4/13/2005,144.4,148.5,137.2,144.9,662000
4/14/2005,144.9,147,138,142.65,323200
4/15/2005,142.65,146.85,141.1,144.65,256300
4/18/2005,144.65,144,138.3,139,211400
4/19/2005,139,139.7,132.05,132.05,148800
4/20/2005,132.05,132.9,125.45,128.5,341100
4/21/2005,128.5,136,128,130.5,356700
4/25/2005,130.5,134.8,125.25,125.3,234000
4/26/2005,125.3,126,121.05,123.75,230700
4/27/2005,123.75,125.5,122,123.5,207400
4/28/2005,123.5,124,119.55,119.6,109300
4/29/2005,119.6,119.5,113.65,115.45,215100
5/2/2005,115.45,117.8,109.7,109.95,257600
5/3/2005,109.95,113.45,105,112.6,550400
5/4/2005,112.6,118.2,111.95,118.2,621100
5/5/2005,118.2,124.1,119,124.1,415000
5/6/2005,124.1,130.3,128.6,130.3,143500
5/9/2005,130.3,136.8,132.5,136.8,406900
5/10/2005,136.8,143.5,137,140.85,998500
5/11/2005,140.85,142.9,133.85,135.7,690800
5/12/2005,135.7,137.9,128.95,128.95,452700
5/13/2005,128.95,132,125.3,129,337800
5/16/2005,129,131,123.75,125.8,236400
5/17/2005,125.8,127.65,124.8,126.05,189600
5/18/2005,126.05,128.45,123.5,124.7,163700
5/19/2005,124.7,126.2,122,122,189500
5/20/2005,122,121.25,117,117.25,196100
5/23/2005,117.25,114,111.4,111.4,97300
5/24/2005,111.4,116.95,106,116.95,405600
5/25/2005,116.95,122.75,117.5,121.45,524000
5/26/2005,121.45,126,115.4,115.4,551000
5/27/2005,115.4,119.4,111.5,116,614200
5/30/2005,116,121.8,116,121.8,494700
5/31/2005,121.8,127.85,123.1,127.85,781800
6/1/2005,127.85,134.2,131.5,134.2,440300
6/2/2005,134.2,140.9,140.9,140.9,107100
6/3/2005,140.9,147,134,134.25,1371500
