Date,Open,High,Low,Close,Volume
9/24/2007,305,289.75,289.75,289.75,160400
9/25/2007,289.75,275.3,275.3,275.3,205600
9/26/2007,275.3,284.5,266,280.5,12770900
9/27/2007,280.5,287.5,278.6,279,6365800
9/28/2007,279,283.5,272.5,278.95,4375000
10/1/2007,278.95,287.75,282.1,284.5,5641900
10/2/2007,284.5,296.8,285.05,294.9,9910100
10/3/2007,294.9,299.85,292.5,294.05,4875900
10/4/2007,294.05,298.9,290,297.5,5273400
10/5/2007,297.5,302.95,292.05,292.15,4314700
10/8/2007,292.15,299.5,294,295.5,2762300
10/9/2007,295.5,302,292.3,298.7,5718400
10/11/2007,298.7,302.9,296,298,4542400
10/17/2007,298,295,285,289.95,5190600
10/18/2007,289.95,293,285.5,285.55,2377500
10/19/2007,285.55,286.25,281,284.5,1108000
10/22/2007,284.5,284.9,275.4,275.8,1172900
10/23/2007,275.8,279,271,273.5,1287700
10/24/2007,273.5,274.5,266.05,269,1108200
10/25/2007,269,274.4,268.1,271,1338300
10/26/2007,271,273.9,268,268.75,713500
10/29/2007,268.75,270.95,265.5,265.5,490200
10/30/2007,265.5,267.9,256.15,257,1178500
10/31/2007,257,269,253,268.1,1827900
11/1/2007,268.1,267,257.1,257.75,1358900
11/2/2007,257.75,261,252.75,255.1,968300
11/5/2007,255.1,253.95,242.35,246.1,1328700
11/6/2007,246.1,253.5,244.5,252,1219800
11/7/2007,252,252.25,249,250.25,440000
11/8/2007,250.25,249.9,244.1,245.25,514500
11/12/2007,245.25,251.9,248,249.15,580500
11/13/2007,249.15,251.85,247.05,249,972400
11/14/2007,249,260.4,248.25,255.1,6119300
11/15/2007,255.1,258,246.15,249,1599400
11/16/2007,249,255,249.05,252.1,1334300
11/19/2007,252.1,253.5,248,251.15,1125300
11/20/2007,251.15,253,250.5,250.55,873100
11/21/2007,250.55,253.4,249.5,250.25,1056400
11/22/2007,250.25,258.45,250,253.25,2374000
11/23/2007,253.25,256.8,252,252.65,704600
11/26/2007,252.65,265.25,252.1,264.25,5456700
11/27/2007,264.25,265.7,257.5,258,3675300
11/28/2007,258,263,256.75,259.5,2452600
11/29/2007,259.5,263.5,259.25,259.6,2106000
11/30/2007,259.6,262.5,258,258.7,1261000
12/3/2007,258.7,260.5,255.55,256.5,683700
