Date,Open,High,Low,Close,Volume
1/1/2001,15,16.5,15,16.5,2000
1/8/2001,16.5,17.5,17.5,17.5,500
1/26/2001,17.5,17.5,17.5,17.5,0
2/8/2001,17.5,17,17,17,500
2/20/2001,17,17,17,17,500
2/23/2001,17,18,18,18,500
2/27/2001,18,18,18,18,1500
2/28/2001,18,17,17,17,500
3/1/2001,17,17.95,17.9,17.95,2000
3/2/2001,17.95,19,18.25,19,1500
3/12/2001,19,19,19,19,500
3/14/2001,19,19,19,19,500
3/16/2001,19,18.5,18.5,18.5,500
3/21/2001,18.5,18,18,18,500
3/22/2001,18,18,18,18,0
3/28/2001,18,18.5,18.5,18.5,1000
4/10/2001,18.5,18.6,18.5,18.5,3500
4/16/2001,18.5,18.2,18,18.2,2000
4/17/2001,18.2,18.8,18.8,18.8,500
4/23/2001,18.8,24,19.95,22,44000
4/24/2001,22,22,22,22,500
4/25/2001,22,22.5,22.5,22.5,1000
4/27/2001,22.5,23.55,23.55,23.55,500
5/3/2001,23.55,23.55,23.55,23.55,0
5/15/2001,23.55,22.5,22.1,22.1,5500
5/16/2001,22.1,22.5,22,22.5,17500
5/17/2001,22.5,22.5,22.5,22.5,1000
5/18/2001,22.5,22.5,22.5,22.5,1000
5/22/2001,22.5,23.25,22.8,23.25,1500
5/23/2001,23.25,23.25,22.5,22.5,6000
5/31/2001,22.5,23.6,23,23,3500
6/28/2001,23,25,25,25,500
7/9/2001,25,25.25,25.25,25.25,1000
7/11/2001,25.25,25,25,25,500
7/18/2001,25,25,25,25,1500
7/19/2001,25,25,25,25,1000
8/3/2001,25,25,25,25,1000
8/8/2001,25,25,25,25,500
8/13/2001,25,25.15,25.15,25.15,500
8/15/2001,25.15,26,26,26,500
8/17/2001,26,25.2,25.2,25.2,500
8/21/2001,25.2,27,26,26,2500
8/22/2001,26,32,28,32,5000
8/23/2001,32,36.9,35.6,36.5,10500
8/24/2001,36.5,36.9,33.35,33.35,1500
8/27/2001,33.35,36.5,34.5,34.5,8500
8/28/2001,34.5,35.5,35.35,35.5,2000
8/29/2001,35.5,36.5,35.3,36.5,5000
8/30/2001,36.5,36.5,36.5,36.5,2000
8/31/2001,36.5,36.75,36.75,36.75,2000
9/3/2001,36.75,36.75,36.75,36.75,1500
9/4/2001,36.75,38,37,37.75,2500
9/6/2001,37.75,38.5,37.75,38,1500
9/7/2001,38,39,39,39,1500
9/10/2001,39,42,41,42,1000
9/11/2001,42,45,43.3,44,4500
9/12/2001,44,45,43.5,45,3500
9/13/2001,45,45,45,45,0
9/14/2001,45,42.6,42.5,42.5,3500
9/24/2001,42.5,43.5,41,41,3500
9/25/2001,41,42,40.5,40.5,2000
9/26/2001,40.5,45,42,45,1500
9/27/2001,29.29,29.29,29.29,29.29,0
9/28/2001,29.29,27.95,27.95,27.95,500
10/2/2001,27.95,27.95,27.95,27.95,500
10/17/2001,27.95,26.6,26.6,26.6,500
10/22/2001,26.6,25.35,25.35,25.35,500
10/23/2001,25.35,25.15,25.15,25.15,2500
10/25/2001,25.15,25.3,25.3,25.3,500
11/15/2001,25.3,24.3,24.3,24.3,500
11/16/2001,24.3,25.3,24.3,24.3,2000
11/19/2001,24.3,24.3,24.3,24.3,0
11/24/2001,24.3,24,24,24,500
11/26/2001,24,24,24,24,500
12/3/2001,24,23.5,23.5,23.5,1000
12/31/2001,23.5,23,23,23,1000
1/9/2002,23,22.5,22.5,22.5,500
2/11/2002,22.5,22.05,22.05,22.05,500
2/13/2002,22.05,23.25,23,23,10500
2/14/2002,23,24.5,24.5,24.5,1000
2/15/2002,24.5,23.05,23.05,23.05,500
2/18/2002,23.05,24.75,24.75,24.75,1000
2/19/2002,24.75,24.75,24.75,24.75,500
2/20/2002,24.75,24.75,24.75,24.75,500
2/21/2002,24.75,26.6,26.6,26.6,1000
2/28/2002,26.6,26.75,26.6,26.75,1000
3/1/2002,26.75,27,27,27,500
3/6/2002,27,28.5,28.05,28.05,1000
3/7/2002,28.05,30,30,30,1000
3/12/2002,30,32.2,32.2,32.2,1000
3/13/2002,32.2,33.3,31.25,33.3,1500
3/15/2002,33.3,33,33,33,1500
3/22/2002,33,35.5,35,35.15,1000
3/26/2002,35.15,36,36,36,0
3/27/2002,36,38.7,38.7,38.7,1000
3/28/2002,38.7,39,39,39,500
3/29/2002,39,40,40,40,2000
4/1/2002,40,41.7,40.25,41.4,4000
4/3/2002,41.4,40,40,40,500
4/4/2002,40,40,40,40,500
4/5/2002,40,42,40.5,40.5,3500
4/10/2002,40.5,39,39,39,1500
4/12/2002,39,40,40,40,2000
4/18/2002,40,40.9,40,40,1500
4/19/2002,40,40,39,39.95,2500
4/22/2002,39.95,40,40,40,500
4/23/2002,40,39,39,39,500
4/25/2002,39,39.5,38,39.5,2000
4/26/2002,39.5,42.4,39.95,42,3500
4/29/2002,42,39,39,39,500
4/30/2002,39,39,39,39,1000
5/2/2002,39,39,38,38,1500
5/6/2002,38,39,38,38,1500
5/7/2002,38,39,38.25,38.5,5000
5/8/2002,38.5,39,38,39,3000
5/9/2002,39,39,39,39,1000
5/13/2002,39,38.75,38,38.75,9500
5/14/2002,38.75,39.5,39,39.5,2000
5/15/2002,39.5,39.5,39.5,39.5,1000
5/20/2002,39.5,36.55,36.55,36.55,500
5/21/2002,36.55,37,37,37,0
5/24/2002,37,38.5,38.5,38.5,0
5/29/2002,38.5,38.6,38.6,38.6,0
5/30/2002,38.6,38.5,38.5,38.5,1500
6/6/2002,38.5,38.5,38.5,38.5,1000
6/7/2002,38.5,38.6,38.6,38.6,500
6/11/2002,38.6,38.65,38.5,38.55,5500
6/13/2002,38.55,38.75,38.75,38.75,1000
6/19/2002,38.75,38.8,38.8,38.8,0
6/24/2002,38.8,40,40,40,500
6/28/2002,40,40.05,40.05,40.05,0
7/2/2002,40.05,41,41,41,0
7/3/2002,41,41.5,41.5,41.5,0
7/4/2002,41.5,41,41,41,500
7/8/2002,41,41,40,40,3000
7/11/2002,40,40.15,40.15,40.15,0
7/16/2002,40.15,40.25,40.25,40.25,0
7/17/2002,40.25,42,42,42,500
7/18/2002,42,41.95,41.95,41.95,0
7/19/2002,41.95,42,42,42,4000
7/22/2002,42,42,42,42,1000
7/23/2002,42,42.25,42,42.25,2000
7/24/2002,42.25,42.1,42,42.1,2000
7/26/2002,42.1,43.25,43.25,43.25,1000
7/30/2002,43.25,44.25,44,44.25,1000
7/31/2002,44.25,44,44,44,500
8/1/2002,44,43.75,43.5,43.5,4000
8/9/2002,43.5,43,43,43,500
8/12/2002,43,43,43,43,0
8/16/2002,43,45,44.9,45,1000
8/19/2002,45,44.9,43.5,43.5,2000
8/20/2002,43.5,45,44.25,44.25,3000
8/21/2002,44.25,46,44,46,8000
8/22/2002,46,45.7,43.75,45.7,3500
8/23/2002,45.7,45.5,44.5,45.5,7500
8/26/2002,45.5,46,45.5,46,2500
8/28/2002,46,45.5,45,45.5,1500
8/29/2002,45.5,45.2,45.2,45.2,500
8/30/2002,45.2,46,46,46,4000
9/2/2002,46,46.4,46,46.4,2000
9/3/2002,46.4,45.25,45.25,45.25,1000
9/4/2002,45.25,46,45.8,45.8,3500
9/5/2002,45.8,45,45,45,500
9/6/2002,45,44.5,44.5,44.5,1000
9/10/2002,44.5,44.5,44.5,44.5,1000
9/11/2002,44.5,45.25,45,45.05,3000
9/12/2002,45.05,46,45.45,46,3000
9/13/2002,46,45,45,45,500
9/16/2002,39,39,39,39,0
9/19/2002,39,39.25,39.25,39.25,0
9/30/2002,39.25,40,39.5,40,3000
10/1/2002,40,40,40,40,500
10/2/2002,40,39,39,39,2000
10/7/2002,39,40,39.7,40,2000
10/11/2002,40,38.5,38.5,38.5,2000
10/21/2002,38.5,40.5,40,40.5,2500
10/22/2002,40.5,38.75,38.5,38.75,15000
10/23/2002,38.75,39.5,39.5,39.5,0
10/24/2002,39.5,39.75,39.75,39.75,0
10/25/2002,39.75,40,40,40,0
10/28/2002,40,42.75,42,42.75,4500
10/29/2002,42.75,45,42,44,12500
10/30/2002,44,45.95,44.2,44.2,1000
10/31/2002,44.2,46,45.75,45.75,2500
11/4/2002,45.75,43.5,43.5,43.5,500
11/5/2002,43.5,46.5,46.5,46.5,500
11/7/2002,46.5,45,45,45,1000
11/12/2002,45,45,45,45,1000
11/19/2002,45,45.5,45.5,45.5,0
11/21/2002,45.5,45,45,45,500
11/22/2002,45,46,45.1,45.75,3000
11/25/2002,45.75,46.5,46.5,46.5,1000
11/26/2002,46.5,47,47,47,500
12/2/2002,47,45.75,45.75,45.75,500
12/4/2002,45.75,45,45,45,0
12/10/2002,45,46,46,46,2000
12/11/2002,46,49.45,47.5,49.45,2500
12/12/2002,49.45,50.05,49.1,50,5000
12/13/2002,50,50.5,50,50,1500
12/16/2002,50,50,49.05,49.05,6000
12/17/2002,49.05,48.55,48.55,48.55,1000
12/18/2002,48.55,48.8,48.8,48.8,500
12/20/2002,48.8,49.3,49.3,49.3,0
12/23/2002,49.3,49.5,49.5,49.5,0
12/24/2002,49.5,50,50,50,0
12/26/2002,50,53.75,53,53.75,2000
12/27/2002,53.75,53,53,53,500
12/30/2002,53,52.5,52.5,52.5,500
12/31/2002,52.5,53,53,53,1000
1/3/2003,53,54,54,54,500
1/6/2003,54,55,55,55,1500
1/13/2003,55,55.1,55.1,55.1,0
1/15/2003,55.1,55.25,55.25,55.25,0
1/16/2003,55.25,59.25,59.25,59.25,0
1/17/2003,59.25,59,58,58,7000
1/23/2003,58,55.25,55.2,55.2,1500
1/30/2003,55.2,56,56,56,500
