Country/Territory,2016-17,2017-18,2018-19,2019-20,2020-21
Total  Exports,2138186,2555043,3128230,3369782,4041927
North America,,,,,
Canada,24111,28050,36851,43066,51198
U.S.A.,361137,400448,532849,585400,823580
Western Europe (E.E.C. Countries),,,,,
France,38810,45549,53910,57735,66002
Federal Republic of Germany,125068,146726,173380,199000,241190
Italy,68579,84476,107413,115019,125895
Netherland,71759,95198,132209,160464,199330
Spain,85503,104486,126496,130293,140288
United Kingdom,163087,186736,226848,239634,324657
E.F.T.A. (Excl. U.K.),,,,,
Switzerland,1247,1722,1793,2021,2269
Eastern Europe,,,,,
Russian Federation,13555,16087,20995,20293,27458
Middle East (E.C.O. Countries),,,,,
Iran,3294,2310,2151,-,-
Asian Countries,,,,,
Dubai,0,0,0,0,0
Iraq,2067,2440,4024,4500,5907
Kuwait,9125,10038,13431,16459,18524
Saudi Arabia,35686,33242,44806,69961,66539
Sultanate of Oman,10758,14648,19090,21792,23955
Other Asia,,,,,
Afghanistan,133088,165153,176371,134250,163806
Bangla Desh,65429,80690,101789,102591,104121
China,153808,185722,259561,273360,387956
Hong Kong,12681,12102,13936,11551,14897
India,37600,39248,34855,1272,12
Indonesia,14634,34651,22419,17538,23893
Japan,18085,21374,26819,27052,28189
Singapur,5370,9963,12320,8496,13269
Sri Lanka,26112,35231,42797,47177,44098
Other Countries n.e.s.,657593,798753,941116,1080858,1144894
