"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","-60.6819215","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","104.286848","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","169.783442","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","243.981066","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","74.197624","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","-65.496594","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","-65.496594","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","-164.9687695","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00100","............i Portfolio Investment","-164.9687695","Million USD","Normal","NA","100","Net Foreign Public Portfolio Investment"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00110","..................a Equity Securities","0","Million USD","Normal","NA","110","Net Foreign Public Portfolio Investment in Equity Securities"
"Summary of Foreign Investment in Pakistan","31-Dec-2024","TS_GP_FI_SUMFIPK_M.FI00120","..................b Debt Securities","-164.9687695","Million USD","Normal","NA","120","Net Foreign Public Portfolio Investment in Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00010","1 Total Foreign Investment","182.2044088","Million USD","Normal","NA","10","Net Total Foreign Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00020","......I Foreign Private Investment","160.084115","Million USD","Normal","NA","20","Net Foreign Private Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00030","............i FDI in Pakistan","219.226031","Million USD","Normal","NA","30","Net Foreign Direct Investment in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00040","..................a FDI Inflow","382.83858","Million USD","Normal","NA","40","Total FDI Inflows in Pakistan"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00050","..................b FDI Outflow","163.612549","Million USD","Normal","NA","50","Total FDI outflows from Pakistan"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00060","............ii Private Portfolio Investment","-59.141916","Million USD","Normal","NA","60","Net Foreign Private Portfolio Investment"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00070","..................a Equity Securities","-59.141916","Million USD","Normal","NA","70","Private Portfolio Investment Equity Securities"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00080","..................b Debt Securities","0","Million USD","Normal","NA","80","Private Portfolio Investment Debt Securities"
"Summary of Foreign Investment in Pakistan","30-Nov-2024","TS_GP_FI_SUMFIPK_M.FI00090","......II Foreign Public Investment","22.1202938","Million USD","Normal","NA","90","Net Foreign Public Portfolio Investment"
