,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2001-01-01,8.1,8.0,7.65,7.65,312000,2001,1,1
1,2001-01-02,7.65,8.9,7.9,8.35,4537500,2001,1,2
2,2001-01-03,8.35,8.9,8.45,8.9,2122500,2001,1,3
3,2001-01-04,8.9,9.1,8.6,8.65,2936000,2001,1,4
4,2001-01-05,8.65,8.8,8.55,8.55,456500,2001,1,5
5,2001-01-08,8.55,8.6,8.25,8.25,224500,2001,1,8
6,2001-01-09,8.25,8.3,8.0,8.1,208500,2001,1,9
87,2001-05-15,5.8,5.8,5.65,5.8,106000,2001,5,15
88,2001-05-16,5.8,6.05,5.8,6.0,406500,2001,5,16
89,2001-05-17,6.0,6.0,5.9,5.95,211000,2001,5,17
90,2001-05-18,5.95,6.0,5.65,5.8,155000,2001,5,18
91,2001-05-21,5.8,5.85,5.65,5.8,129500,2001,5,21
92,2001-05-22,5.8,5.85,5.7,5.8,230500,2001,5,22
93,2001-05-23,5.8,5.8,5.7,5.7,57500,2001,5,23
94,2001-05-24,5.7,5.85,5.7,5.7,55000,2001,5,24
95,2001-05-25,5.7,5.75,5.65,5.7,380000,2001,5,25
96,2001-05-28,5.7,5.95,5.7,5.9,1252500,2001,5,28
97,2001-05-29,5.9,5.95,5.7,5.85,580500,2001,5,29
98,2001-05-30,5.85,6.15,5.75,6.1,2415500,2001,5,30
99,2001-05-31,6.1,6.3,6.1,6.25,2744500,2001,5,31
100,2001-06-01,6.25,6.3,6.05,6.1,1252000,2001,6,1
101,2001-06-04,6.1,6.65,6.2,6.6,3725500,2001,6,4
102,2001-06-06,6.6,6.75,6.15,6.15,1590500,2001,6,6
103,2001-06-07,6.15,6.35,6.15,6.2,944500,2001,6,7
104,2001-06-08,6.2,6.45,6.0,6.35,901500,2001,6,8
105,2001-06-11,6.35,6.6,6.25,6.45,1665000,2001,6,11
106,2001-06-12,6.45,6.5,6.35,6.4,391000,2001,6,12
107,2001-06-13,6.4,6.4,6.3,6.35,173500,2001,6,13
108,2001-06-14,6.35,6.4,6.3,6.35,641500,2001,6,14
109,2001-06-15,6.35,6.35,6.25,6.3,185000,2001,6,15
110,2001-06-18,6.3,6.85,6.35,6.75,3350000,2001,6,18
111,2001-06-19,6.75,6.7,6.1,6.1,1703000,2001,6,19
112,2001-06-20,6.1,6.15,5.95,6.15,686500,2001,6,20
113,2001-06-21,6.15,6.25,5.95,6.0,380500,2001,6,21
114,2001-06-22,6.0,6.05,5.7,5.7,1104000,2001,6,22
115,2001-06-25,5.7,6.0,5.8,5.8,159500,2001,6,25
116,2001-06-26,5.8,5.85,5.75,5.75,134000,2001,6,26
117,2001-06-27,5.75,5.95,5.75,5.9,218000,2001,6,27
118,2001-06-28,5.9,5.95,5.8,5.85,169500,2001,6,28
119,2001-06-29,5.85,5.85,5.65,5.7,294500,2001,6,29
120,2001-07-03,5.7,5.8,5.6,5.6,58500,2001,7,3
