,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2014-01-17,0.0,29.66,29.66,29.66,0,2014,1,17
1,2014-01-20,31.14,31.14,31.14,31.14,1000,2014,1,20
2,2014-01-21,32.69,32.69,32.69,32.69,2500,2014,1,21
3,2014-01-22,34.32,34.32,34.32,34.32,2000,2014,1,22
36,2014-03-11,56.6,57.95,56.4,57.17,5772500,2014,3,11
37,2014-03-12,57.4,59.75,57.1,59.06,15260500,2014,3,12
38,2014-03-13,59.85,60.49,58.02,58.29,4903000,2014,3,13
39,2014-03-14,58.5,59.1,57.5,57.82,2837500,2014,3,14
40,2014-03-17,57.82,58.24,57.25,57.53,1536000,2014,3,17
41,2014-03-18,57.25,57.9,57.05,57.14,1206000,2014,3,18
42,2014-03-19,57.35,57.98,56.7,56.92,2872500,2014,3,19
43,2014-03-20,57.18,57.89,56.76,57.19,3168500,2014,3,20
44,2014-03-21,57.25,57.65,56.5,56.83,3089000,2014,3,21
45,2014-03-24,56.9,57.19,56.2,56.58,1973000,2014,3,24
62,2014-04-16,71.48,71.8,68.7,68.99,4578500,2014,4,16
63,2014-04-17,69.25,70.5,68.01,70.08,5253000,2014,4,17
64,2014-04-18,71.11,72.25,70.8,70.95,9252000,2014,4,18
65,2014-04-21,71.29,71.29,69.5,69.95,4477000,2014,4,21
66,2014-04-22,70.49,70.77,69.05,69.32,3466000,2014,4,22
67,2014-04-23,69.65,69.99,66.01,66.72,9567000,2014,4,23
68,2014-04-24,67.0,70.0,66.11,69.57,7993000,2014,4,24
69,2014-04-25,70.25,70.74,66.5,67.6,7460000,2014,4,25
70,2014-04-28,67.26,67.9,66.1,66.18,1368500,2014,4,28
71,2014-04-29,66.3,66.74,63.25,64.33,3314500,2014,4,29
72,2014-04-30,64.16,67.17,64.05,66.55,3424500,2014,4,30
73,2014-05-02,66.62,68.4,65.51,66.89,5494500,2014,5,2
74,2014-05-05,67.05,67.1,65.05,65.6,2915000,2014,5,5
75,2014-05-06,65.19,65.7,63.3,64.4,2706500,2014,5,6
76,2014-05-07,64.4,65.85,64.4,65.14,2431500,2014,5,7
77,2014-05-08,63.99,64.05,62.5,63.57,2377500,2014,5,8
78,2014-05-09,63.75,64.2,63.01,63.38,1438000,2014,5,9
79,2014-05-12,63.6,63.75,60.25,60.81,1736000,2014,5,12
80,2014-05-13,60.6,61.47,59.45,61.04,3892000,2014,5,13
81,2014-05-14,61.5,62.7,61.5,61.67,1839000,2014,5,14
82,2014-05-15,61.85,62.74,61.75,61.84,1340000,2014,5,15
83,2014-05-16,62.1,62.78,61.5,61.68,1144000,2014,5,16
84,2014-05-19,62.1,62.1,60.55,60.71,1106000,2014,5,19
85,2014-05-20,61.0,61.5,60.61,60.69,1217000,2014,5,20
86,2014-05-21,60.75,61.43,59.81,59.98,2180500,2014,5,21
87,2014-05-22,60.0,60.5,59.5,59.63,1045000,2014,5,22
88,2014-05-23,59.55,59.99,59.01,59.15,636000,2014,5,23
89,2014-05-26,59.21,60.03,59.05,59.83,793000,2014,5,26
90,2014-05-27,59.8,60.6,59.6,60.02,1209500,2014,5,27
91,2014-05-28,59.9,62.5,59.98,62.16,3035500,2014,5,28
92,2014-05-29,62.4,63.98,62.0,63.57,3208000,2014,5,29
93,2014-05-30,63.5,64.5,63.0,63.81,2464500,2014,5,30
94,2014-06-02,63.8,63.8,60.62,60.8,1894500,2014,6,2
95,2014-06-03,60.75,61.27,58.6,59.88,2407500,2014,6,3
96,2014-06-04,60.0,60.45,59.0,59.38,1477000,2014,6,4
97,2014-06-05,59.75,60.09,58.45,58.62,2447500,2014,6,5
98,2014-06-06,58.9,59.45,57.75,57.89,1530000,2014,6,6
99,2014-06-09,58.2,59.6,58.01,58.31,1578500,2014,6,9
100,2014-06-10,58.48,59.74,58.48,59.05,2231000,2014,6,10
101,2014-06-11,59.3,60.5,59.3,59.49,3412000,2014,6,11
102,2014-06-12,59.45,59.6,58.91,59.01,1093500,2014,6,12
103,2014-06-13,59.2,59.4,58.4,58.46,1157500,2014,6,13
104,2014-06-16,58.73,58.73,58.0,58.08,897500,2014,6,16
105,2014-06-17,58.16,58.88,57.76,57.9,1023500,2014,6,17
106,2014-06-18,58.8,59.7,57.73,59.44,2467000,2014,6,18
107,2014-06-19,59.41,59.5,57.6,58.37,2061500,2014,6,19
108,2014-06-20,58.25,58.9,57.65,57.82,1038000,2014,6,20
109,2014-06-23,57.85,59.0,57.0,58.61,1656000,2014,6,23
110,2014-06-24,58.97,59.15,58.1,58.31,1816000,2014,6,24
111,2014-06-25,58.52,58.8,57.5,57.65,1128000,2014,6,25
112,2014-06-26,57.97,58.29,57.8,57.9,430500,2014,6,26
113,2014-06-27,57.8,58.45,57.61,57.88,982500,2014,6,27
114,2014-06-30,57.8,57.8,57.0,57.15,589500,2014,6,30
115,2014-07-01,56.71,56.71,55.15,56.15,1034500,2014,7,1
116,2014-07-02,56.15,57.65,56.05,56.12,1945500,2014,7,2
117,2014-07-03,56.4,56.6,55.8,55.85,543500,2014,7,3
118,2014-07-04,55.99,56.16,55.4,55.53,204500,2014,7,4
119,2014-07-07,55.7,55.94,55.41,55.55,957000,2014,7,7
120,2014-07-08,55.6,56.3,55.3,55.38,834500,2014,7,8
121,2014-07-09,55.46,55.65,54.92,54.98,410000,2014,7,9
122,2014-07-10,54.65,54.9,53.6,53.95,438000,2014,7,10
123,2014-07-11,54.0,54.5,53.6,53.9,367000,2014,7,11
124,2014-07-14,54.0,55.24,54.0,54.94,822000,2014,7,14
125,2014-07-15,54.9,55.35,54.1,54.24,295000,2014,7,15
126,2014-07-16,54.0,54.3,54.0,54.03,257500,2014,7,16
127,2014-07-17,54.1,55.5,54.0,54.72,1310000,2014,7,17
128,2014-07-18,54.55,55.34,54.4,55.0,776000,2014,7,18
129,2014-07-21,55.1,55.89,54.9,55.07,1380500,2014,7,21
130,2014-07-22,55.1,55.35,54.8,54.98,575000,2014,7,22
131,2014-07-23,55.65,56.99,55.25,55.48,4679000,2014,7,23
132,2014-07-24,55.74,55.96,54.76,54.92,1062500,2014,7,24
133,2014-07-28,55.0,55.0,53.82,54.64,611000,2014,7,28
134,2014-08-04,53.69,54.0,52.8,53.12,1218000,2014,8,4
135,2014-08-05,53.0,55.77,53.0,55.76,5986500,2014,8,5
136,2014-08-06,56.05,56.1,54.51,54.97,2228500,2014,8,6
137,2014-08-07,55.49,56.25,55.15,55.78,3219000,2014,8,7
138,2014-08-08,56.0,57.99,55.25,57.13,8344000,2014,8,8
139,2014-08-11,55.0,55.4,54.28,54.28,5360500,2014,8,11
140,2014-08-12,53.56,55.14,52.26,53.3,4257000,2014,8,12
141,2014-08-13,52.6,55.24,52.6,54.21,5183000,2014,8,13
142,2014-08-15,54.2,54.55,53.63,54.11,1715500,2014,8,15
