,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2001-01-02,14.5,13.5,13.5,13.5,500,2001,1,2
1,2001-01-08,13.5,14.0,14.0,14.0,4000,2001,1,8
2,2001-01-09,14.0,11.0,11.0,11.0,1000,2001,1,9
3,2001-01-24,11.0,12.0,12.0,12.0,1500,2001,1,24
4,2001-02-02,12.0,13.0,13.0,13.0,500,2001,2,2
5,2001-02-08,13.0,13.0,13.0,13.0,2000,2001,2,8
6,2001-02-09,13.0,13.0,13.0,13.0,3000,2001,2,9
7,2001-02-14,13.0,13.0,13.0,13.0,1000,2001,2,14
8,2001-02-16,13.0,13.0,13.0,13.0,2000,2001,2,16
9,2001-02-20,13.0,12.5,12.5,12.5,500,2001,2,20
10,2001-03-01,12.5,12.2,12.2,12.2,500,2001,3,1
11,2001-03-13,12.2,12.2,12.2,12.2,0,2001,3,13
12,2001-03-20,12.2,13.95,12.1,12.1,6000,2001,3,20
61,2001-12-11,10.5,10.5,10.5,10.5,500,2001,12,11
62,2001-12-21,10.5,10.6,10.6,10.6,6500,2001,12,21
35,2001-06-06,12.0,12.0,12.0,12.0,3000,2001,6,6
51,2001-08-28,11.0,11.0,11.0,11.0,25000,2001,8,28
52,2001-09-07,11.0,11.1,11.0,11.1,3000,2001,9,7
45,2001-07-26,11.5,11.0,11.0,11.0,1000,2001,7,26
46,2001-08-06,11.0,11.0,11.0,11.0,5500,2001,8,6
47,2001-08-10,11.0,11.0,11.0,11.0,1000,2001,8,10
48,2001-08-22,11.0,10.5,10.5,10.5,500,2001,8,22
49,2001-08-23,10.5,11.0,10.75,11.0,6500,2001,8,23
50,2001-08-27,11.0,11.0,11.0,11.0,5500,2001,8,27
55,2001-10-10,10.5,10.1,10.1,10.1,500,2001,10,10
56,2001-10-19,10.1,10.5,10.5,10.5,500,2001,10,19
53,2001-10-05,11.1,10.55,10.55,10.55,500,2001,10,5
54,2001-10-09,10.55,10.5,10.5,10.5,3000,2001,10,9
57,2001-11-29,10.5,10.5,10.5,10.5,4000,2001,11,29
58,2001-12-03,10.5,10.5,10.5,10.5,1000,2001,12,3
44,2001-07-17,11.5,11.5,11.5,11.5,1000,2001,7,17
43,2001-07-11,12.0,11.5,11.5,11.5,2500,2001,7,11
39,2001-06-14,12.0,12.2,12.2,12.2,500,2001,6,14
40,2001-07-03,12.2,12.0,12.0,12.0,1000,2001,7,3
30,2001-05-23,12.05,12.0,12.0,12.0,7000,2001,5,23
29,2001-05-22,12.15,12.05,12.05,12.05,7500,2001,5,22
33,2001-05-29,12.0,12.0,11.75,11.75,25000,2001,5,29
34,2001-06-04,11.75,12.25,12.0,12.0,16000,2001,6,4
32,2001-05-25,12.05,12.05,12.0,12.0,6000,2001,5,25
31,2001-05-24,12.0,12.05,12.05,12.05,500,2001,5,24
41,2001-07-09,12.0,11.5,11.5,11.5,500,2001,7,9
42,2001-07-10,11.5,12.0,12.0,12.0,1000,2001,7,10
