,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2001-01-01,41.1,41.8,40.9,41.7,1912200,2001,1,1
1,2001-01-02,41.7,43.2,42.0,42.35,3851400,2001,1,2
2,2001-01-03,42.35,45.6,42.45,45.6,11413800,2001,1,3
3,2001-01-04,45.6,46.5,44.9,45.0,8460800,2001,1,4
4,2001-01-05,45.0,46.6,44.95,45.75,7512500,2001,1,5
21,2001-01-30,46.6,48.5,45.85,48.4,895500,2001,1,30
54,2001-03-26,39.15,39.2,38.7,38.8,733300,2001,3,26
87,2001-05-15,41.8,42.15,41.55,41.85,1296900,2001,5,15
88,2001-05-16,41.85,43.5,42.45,43.4,9176200,2001,5,16
89,2001-05-17,43.4,43.75,43.2,43.45,3666500,2001,5,17
90,2001-05-18,43.45,43.85,43.15,43.35,2539400,2001,5,18
91,2001-05-21,43.35,43.6,43.25,43.55,585600,2001,5,21
92,2001-05-22,43.55,43.9,43.5,43.5,1884300,2001,5,22
93,2001-05-23,43.5,43.7,43.05,43.15,2106200,2001,5,23
94,2001-05-24,43.15,43.7,43.15,43.65,1683700,2001,5,24
95,2001-05-25,43.65,43.8,43.6,43.75,1569100,2001,5,25
96,2001-05-28,43.75,44.0,43.5,43.95,133300,2001,5,28
97,2001-05-29,43.95,44.2,43.9,44.1,191700,2001,5,29
98,2001-05-30,44.1,44.65,43.6,43.6,491300,2001,5,30
99,2001-05-31,43.6,43.6,43.1,43.1,519200,2001,5,31
100,2001-06-01,43.1,44.35,43.25,43.85,304200,2001,6,1
101,2001-06-04,43.85,44.95,44.0,44.95,640100,2001,6,4
102,2001-06-06,39.95,41.2,38.5,38.75,13552100,2001,6,6
103,2001-06-07,38.75,39.2,38.05,38.5,5514400,2001,6,7
104,2001-06-08,38.5,38.5,36.8,36.8,7730900,2001,6,8
105,2001-06-11,36.8,36.95,35.85,36.85,3079300,2001,6,11
106,2001-06-12,36.85,37.25,36.85,37.0,2324200,2001,6,12
107,2001-06-13,37.0,37.15,36.7,37.1,2045300,2001,6,13
108,2001-06-14,37.1,37.95,37.15,37.45,4860500,2001,6,14
109,2001-06-15,37.45,37.7,37.15,37.45,2719600,2001,6,15
110,2001-06-18,37.45,37.6,37.0,37.4,1741200,2001,6,18
111,2001-06-19,37.4,37.45,36.7,36.75,1780200,2001,6,19
112,2001-06-20,36.75,37.0,36.2,36.8,2183600,2001,6,20
113,2001-06-21,36.8,37.0,36.35,36.5,1509200,2001,6,21
114,2001-06-22,36.5,36.5,35.9,36.0,2193600,2001,6,22
115,2001-06-25,36.0,36.4,35.55,35.75,2938100,2001,6,25
116,2001-06-26,35.75,35.85,35.2,35.5,2052800,2001,6,26
117,2001-06-27,35.5,35.55,34.8,35.1,5459500,2001,6,27
118,2001-06-28,35.1,36.2,34.95,36.2,6576500,2001,6,28
119,2001-06-29,36.2,36.35,35.5,35.6,2837400,2001,6,29
120,2001-07-03,35.6,35.55,35.0,35.1,1767100,2001,7,3
121,2001-07-04,35.1,35.6,35.15,35.35,1400900,2001,7,4
122,2001-07-05,35.35,35.4,34.7,34.95,1555200,2001,7,5
123,2001-07-06,34.95,35.0,34.45,34.7,1180400,2001,7,6
124,2001-07-09,34.7,35.2,34.6,34.65,921100,2001,7,9
125,2001-07-10,34.65,35.05,34.65,34.8,840400,2001,7,10
126,2001-07-11,34.8,35.35,34.3,35.15,1643500,2001,7,11
127,2001-07-12,35.15,35.75,35.05,35.6,2217800,2001,7,12
128,2001-07-13,35.6,35.85,35.3,35.4,1402200,2001,7,13
129,2001-07-16,35.4,36.3,35.65,35.85,3693800,2001,7,16
130,2001-07-17,35.85,35.6,34.8,34.9,3220100,2001,7,17
131,2001-07-18,34.9,35.45,34.95,35.45,1475200,2001,7,18
132,2001-07-19,35.45,35.6,35.3,35.4,1097600,2001,7,19
133,2001-07-20,35.4,35.45,35.0,35.15,1310000,2001,7,20
134,2001-07-23,35.15,35.35,34.85,35.25,1285400,2001,7,23
135,2001-07-24,35.25,35.6,35.2,35.55,1109200,2001,7,24
136,2001-07-25,35.55,35.6,35.2,35.2,637300,2001,7,25
137,2001-07-26,35.2,35.25,34.95,35.05,841000,2001,7,26
138,2001-07-27,35.05,35.1,34.6,34.8,1304700,2001,7,27
139,2001-07-30,34.8,34.75,34.25,34.65,647500,2001,7,30
