,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2001-01-01,8.75,8.3,8.0,8.25,23500,2001,1,1
1,2001-01-02,8.25,8.75,8.3,8.4,70000,2001,1,2
2,2001-01-03,8.4,8.6,8.25,8.6,45500,2001,1,3
3,2001-01-04,8.6,8.5,8.25,8.45,14500,2001,1,4
4,2001-01-05,8.45,8.5,8.3,8.45,48000,2001,1,5
21,2001-01-30,8.45,9.05,8.1,9.05,278500,2001,1,30
22,2001-01-31,9.05,9.4,8.5,9.35,214000,2001,1,31
23,2001-02-01,9.35,9.5,9.2,9.2,76000,2001,2,1
24,2001-02-02,9.2,9.3,9.2,9.2,46000,2001,2,2
89,2001-05-24,7.6,7.75,7.65,7.7,18000,2001,5,24
90,2001-05-25,7.7,7.7,7.6,7.6,21000,2001,5,25
91,2001-05-28,7.6,7.8,7.7,7.8,18500,2001,5,28
92,2001-05-30,7.8,8.1,7.8,8.0,258500,2001,5,30
93,2001-05-31,8.0,8.0,7.9,8.0,32500,2001,5,31
94,2001-06-01,8.0,8.0,7.8,7.85,88000,2001,6,1
95,2001-06-04,7.85,8.15,7.95,8.1,289500,2001,6,4
96,2001-06-06,8.1,8.45,8.0,8.0,92000,2001,6,6
97,2001-06-07,8.0,8.0,7.85,7.85,20500,2001,6,7
98,2001-06-08,7.85,7.9,7.7,7.7,2471000,2001,6,8
99,2001-06-11,7.7,8.0,7.75,7.95,12500,2001,6,11
100,2001-06-12,7.95,8.0,7.85,7.85,17000,2001,6,12
101,2001-06-13,7.85,8.05,7.9,8.0,143500,2001,6,13
102,2001-06-14,8.0,8.05,7.95,8.0,66000,2001,6,14
103,2001-06-15,8.0,8.05,7.95,8.05,284000,2001,6,15
104,2001-06-18,8.05,8.25,7.9,8.0,221000,2001,6,18
105,2001-06-19,8.0,8.15,7.8,7.8,140000,2001,6,19
106,2001-06-20,7.8,7.85,7.75,7.85,4500,2001,6,20
107,2001-06-21,7.85,7.85,7.55,7.6,87000,2001,6,21
108,2001-06-22,7.6,7.85,7.6,7.65,18500,2001,6,22
109,2001-06-25,7.65,7.7,7.65,7.65,8500,2001,6,25
110,2001-06-26,7.65,7.65,7.65,7.65,1500,2001,6,26
111,2001-06-27,7.65,7.8,7.75,7.8,1000,2001,6,27
112,2001-06-28,7.8,7.75,7.6,7.6,27000,2001,6,28
113,2001-06-29,7.6,7.7,7.55,7.55,39000,2001,6,29
114,2001-07-03,7.55,7.6,7.45,7.5,17000,2001,7,3
115,2001-07-04,7.5,7.65,7.4,7.55,9000,2001,7,4
116,2001-07-05,7.55,7.55,7.4,7.4,12500,2001,7,5
117,2001-07-06,7.4,7.45,7.1,7.1,47500,2001,7,6
118,2001-07-09,7.1,7.5,7.2,7.2,21500,2001,7,9
