,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2005-08-10,11.0,11.0,11.0,11.0,3000,2005,8,10
1,2005-08-11,11.0,10.75,10.75,10.75,1500,2005,8,11
2,2005-08-12,10.75,10.25,10.25,10.25,500,2005,8,12
3,2005-08-19,10.25,9.95,9.95,9.95,500,2005,8,19
4,2005-09-06,9.95,9.9,9.9,9.9,0,2005,9,6
32,2005-12-30,9.4,9.0,9.0,9.0,500,2005,12,30
30,2005-12-28,9.0,10.0,10.0,10.0,1000,2005,12,28
29,2005-12-26,9.0,9.0,9.0,9.0,1500,2005,12,26
28,2005-12-23,9.35,9.95,9.0,9.0,3000,2005,12,23
27,2005-12-20,9.35,9.35,9.35,9.35,500,2005,12,20
26,2005-12-19,9.0,9.5,8.15,9.35,2500,2005,12,19
25,2005-12-16,9.45,9.0,9.0,9.0,2000,2005,12,16
23,2005-12-14,9.0,9.0,9.0,9.0,1000,2005,12,14
24,2005-12-15,9.0,9.45,8.1,9.45,1500,2005,12,15
5,2005-09-07,9.9,9.8,9.8,9.8,0,2005,9,7
6,2005-09-12,9.8,10.8,10.75,10.8,4000,2005,9,12
31,2005-12-29,10.0,9.4,9.05,9.4,1500,2005,12,29
22,2005-12-13,9.0,9.0,9.0,9.0,2000,2005,12,13
8,2005-09-21,9.8,9.5,9.5,9.5,0,2005,9,21
7,2005-09-13,10.8,9.8,9.8,9.8,500,2005,9,13
11,2005-11-08,9.0,9.0,9.0,9.0,40000,2005,11,8
12,2005-11-16,9.0,8.0,8.0,8.0,500,2005,11,16
10,2005-10-05,9.3,9.0,9.0,9.0,0,2005,10,5
9,2005-10-03,9.5,9.3,9.3,9.3,0,2005,10,3
17,2005-12-06,8.1,8.95,8.05,8.05,1500,2005,12,6
18,2005-12-07,8.05,8.1,8.1,8.1,0,2005,12,7
15,2005-12-02,7.05,8.05,8.05,8.05,5000,2005,12,2
16,2005-12-05,8.05,8.1,8.05,8.1,1500,2005,12,5
19,2005-12-08,8.1,9.0,9.0,9.0,500,2005,12,8
20,2005-12-09,9.0,9.0,9.0,9.0,1500,2005,12,9
14,2005-11-30,8.0,7.05,7.0,7.05,1000,2005,11,30
13,2005-11-18,8.0,8.0,8.0,8.0,500,2005,11,18
21,2005-12-12,9.0,9.05,9.0,9.0,3500,2005,12,12
94,2006-12-21,9.25,9.05,8.95,8.95,3000,2006,12,21
93,2006-12-18,9.6,9.5,9.25,9.25,14000,2006,12,18
92,2006-12-14,9.3,9.75,9.6,9.6,1500,2006,12,14
91,2006-12-13,9.85,9.75,9.25,9.3,8500,2006,12,13
90,2006-12-12,9.8,9.9,9.75,9.85,32000,2006,12,12
89,2006-12-11,9.9,9.8,9.35,9.8,7000,2006,12,11
88,2006-12-08,9.7,10.7,9.8,9.9,164000,2006,12,8
87,2006-12-07,9.7,9.7,9.7,9.7,500,2006,12,7
86,2006-12-06,9.6,9.7,9.7,9.7,500,2006,12,6
85,2006-12-05,9.0,9.6,9.25,9.6,53500,2006,12,5
84,2006-12-04,9.1,9.65,9.0,9.0,5000,2006,12,4
43,2006-04-18,8.5,7.75,7.75,7.75,500,2006,4,18
44,2006-04-19,7.75,7.5,7.5,7.5,0,2006,4,19
96,2006-12-28,9.25,9.05,8.95,9.0,19500,2006,12,28
97,2006-12-29,9.0,9.05,9.0,9.0,6500,2006,12,29
95,2006-12-27,8.95,9.75,9.25,9.25,8500,2006,12,27
81,2006-11-27,9.85,9.7,9.25,9.7,5500,2006,11,27
82,2006-11-28,9.7,9.6,9.6,9.6,500,2006,11,28
83,2006-12-01,9.6,9.1,9.0,9.1,4000,2006,12,1
80,2006-11-23,9.7,9.85,9.8,9.85,45500,2006,11,23
53,2006-08-08,6.05,6.1,6.1,6.1,0,2006,8,8
54,2006-09-01,6.1,6.5,6.5,6.5,1500,2006,9,1
55,2006-09-06,6.5,6.5,6.5,6.5,1500,2006,9,6
56,2006-10-05,6.5,7.0,7.0,7.0,500,2006,10,5
57,2006-10-06,7.0,8.0,8.0,8.0,1500,2006,10,6
58,2006-10-09,8.0,9.0,9.0,9.0,500,2006,10,9
59,2006-10-10,9.0,10.0,8.75,10.0,388000,2006,10,10
76,2006-11-17,9.5,9.8,9.05,9.7,8500,2006,11,17
77,2006-11-20,9.7,9.8,9.5,9.5,15000,2006,11,20
78,2006-11-21,9.5,9.8,9.8,9.8,500,2006,11,21
79,2006-11-22,9.8,9.7,9.7,9.7,500,2006,11,22
40,2006-03-03,8.55,7.55,7.55,7.55,2000,2006,3,3
39,2006-01-27,9.5,8.55,8.55,8.55,500,2006,1,27
38,2006-01-25,9.0,9.5,9.5,9.5,1000,2006,1,25
37,2006-01-24,9.5,9.0,9.0,9.0,3500,2006,1,24
36,2006-01-23,9.5,9.5,9.5,9.5,2000,2006,1,23
35,2006-01-20,8.8,9.5,9.4,9.5,2500,2006,1,20
34,2006-01-19,9.75,8.8,8.8,8.8,2000,2006,1,19
33,2006-01-02,9.0,10.0,9.75,9.75,1000,2006,1,2
52,2006-08-07,6.05,6.05,6.05,6.05,500,2006,8,7
51,2006-07-19,6.5,6.05,6.05,6.05,500,2006,7,19
45,2006-05-03,7.5,8.0,8.0,8.0,500,2006,5,3
46,2006-05-05,8.0,8.0,8.0,8.0,500,2006,5,5
47,2006-06-05,8.0,7.0,7.0,7.0,500,2006,6,5
48,2006-06-23,7.0,8.0,8.0,8.0,500,2006,6,23
49,2006-06-26,8.0,7.0,7.0,7.0,500,2006,6,26
50,2006-07-13,7.0,8.0,6.5,6.5,6000,2006,7,13
73,2006-11-13,9.8,10.0,9.65,9.8,87000,2006,11,13
72,2006-11-07,9.55,9.85,9.8,9.8,2500,2006,11,7
71,2006-11-06,9.75,10.0,9.55,9.55,27500,2006,11,6
70,2006-11-03,9.75,9.95,9.75,9.75,16000,2006,11,3
69,2006-11-02,9.75,9.75,9.75,9.75,1500,2006,11,2
68,2006-10-31,10.15,10.15,9.5,9.75,30500,2006,10,31
67,2006-10-30,9.95,10.15,10.15,10.15,500,2006,10,30
66,2006-10-19,9.0,10.0,9.0,9.95,673000,2006,10,19
65,2006-10-18,9.0,9.0,9.0,9.0,216000,2006,10,18
64,2006-10-17,9.0,9.0,9.0,9.0,127000,2006,10,17
63,2006-10-16,9.0,9.05,9.0,9.0,100000,2006,10,16
62,2006-10-13,9.0,9.0,9.0,9.0,15000,2006,10,13
61,2006-10-12,9.8,9.5,9.0,9.0,30500,2006,10,12
60,2006-10-11,10.0,10.1,9.8,9.8,97000,2006,10,11
41,2006-03-20,7.55,7.55,7.55,7.55,500,2006,3,20
42,2006-03-28,7.55,8.55,8.5,8.5,1000,2006,3,28
74,2006-11-14,9.8,9.8,9.8,9.8,5500,2006,11,14
75,2006-11-15,9.8,10.5,9.05,9.5,151000,2006,11,15
155,2007-04-12,17.0,17.25,16.4,17.0,28000,2007,4,12
154,2007-04-11,17.35,17.2,16.8,17.0,77500,2007,4,11
153,2007-04-10,16.65,17.5,17.0,17.35,160500,2007,4,10
152,2007-04-09,16.9,17.1,16.3,16.65,40500,2007,4,9
151,2007-04-06,17.2,17.6,16.9,16.9,51500,2007,4,6
150,2007-04-05,16.5,17.45,16.5,17.2,571500,2007,4,5
149,2007-04-04,17.1,17.45,16.5,16.5,76000,2007,4,4
148,2007-04-03,16.25,17.25,16.35,17.1,451000,2007,4,3
147,2007-04-02,15.25,16.25,15.6,16.25,729000,2007,4,2
146,2007-03-30,14.25,15.25,14.15,15.25,825000,2007,3,30
161,2007-04-20,16.8,17.0,16.5,16.5,36000,2007,4,20
160,2007-04-19,16.9,17.45,16.8,16.8,62000,2007,4,19
159,2007-04-18,16.9,17.1,16.7,16.9,45000,2007,4,18
158,2007-04-17,17.25,17.15,16.85,16.9,128000,2007,4,17
157,2007-04-16,17.5,17.6,17.0,17.25,295500,2007,4,16
156,2007-04-13,17.0,17.85,16.6,17.5,264500,2007,4,13
187,2007-05-29,28.55,29.25,28.0,28.1,163000,2007,5,29
186,2007-05-28,28.4,29.5,27.25,28.55,3644500,2007,5,28
185,2007-05-25,27.15,28.5,25.85,28.4,1299000,2007,5,25
184,2007-05-24,26.1,27.4,26.0,27.15,223500,2007,5,24
183,2007-05-23,25.0,26.25,23.75,26.1,817000,2007,5,23
182,2007-05-22,25.15,25.5,25.0,25.0,43000,2007,5,22
181,2007-05-21,25.1,26.35,25.1,25.15,144000,2007,5,21
180,2007-05-18,24.65,25.1,24.35,25.1,110500,2007,5,18
179,2007-05-17,24.7,25.45,24.4,24.65,208000,2007,5,17
178,2007-05-16,24.65,25.5,24.0,24.7,155500,2007,5,16
177,2007-05-15,23.75,24.9,23.25,24.65,1055500,2007,5,15
176,2007-05-14,23.65,24.8,22.5,23.75,364500,2007,5,14
175,2007-05-11,22.6,23.7,21.6,23.65,602500,2007,5,11
174,2007-05-10,22.35,23.45,21.6,22.6,1372500,2007,5,10
173,2007-05-09,21.3,22.35,22.35,22.35,1271000,2007,5,9
172,2007-05-08,20.3,21.3,20.0,21.3,815500,2007,5,8
203,2007-06-20,41.85,43.5,40.15,41.9,2139000,2007,6,20
202,2007-06-19,39.9,41.85,38.25,41.85,3730500,2007,6,19
201,2007-06-18,40.0,40.0,39.1,39.9,92000,2007,6,18
200,2007-06-15,40.0,40.1,38.55,40.0,1001500,2007,6,15
199,2007-06-14,40.2,41.5,38.5,40.0,272000,2007,6,14
198,2007-06-13,38.75,40.5,39.0,40.2,206500,2007,6,13
197,2007-06-12,36.95,38.75,36.8,38.75,1414000,2007,6,12
196,2007-06-11,35.25,37.0,36.5,36.95,1544000,2007,6,11
195,2007-06-08,33.6,35.25,33.25,35.25,383500,2007,6,8
194,2007-06-07,32.0,33.6,30.9,33.6,1166500,2007,6,7
193,2007-06-06,32.0,33.2,31.2,32.0,3956000,2007,6,6
192,2007-06-05,31.85,33.0,31.1,32.0,435000,2007,6,5
191,2007-06-04,31.0,32.55,31.1,31.85,558500,2007,6,4
190,2007-06-01,30.15,31.65,30.0,31.0,1869500,2007,6,1
189,2007-05-31,28.75,30.15,28.85,30.15,977500,2007,5,31
188,2007-05-30,28.1,29.05,27.85,28.75,346500,2007,5,30
219,2007-07-12,53.85,56.4,53.5,55.55,194000,2007,7,12
218,2007-07-11,51.3,53.85,48.75,53.85,797500,2007,7,11
217,2007-07-10,54.0,51.5,51.3,51.3,43000,2007,7,10
216,2007-07-09,56.8,56.9,54.0,54.0,46500,2007,7,9
215,2007-07-06,59.0,60.05,56.05,56.8,209500,2007,7,6
214,2007-07-05,57.2,60.05,59.0,59.0,541000,2007,7,5
213,2007-07-04,54.5,57.2,55.9,57.2,134000,2007,7,4
212,2007-07-03,52.35,54.95,50.0,54.5,451500,2007,7,3
211,2007-07-02,49.9,52.35,52.35,52.35,52500,2007,7,2
210,2007-06-29,47.55,49.9,49.9,49.9,37000,2007,6,29
209,2007-06-28,45.3,47.55,47.55,47.55,166500,2007,6,28
208,2007-06-27,43.15,45.3,45.3,45.3,88000,2007,6,27
207,2007-06-26,41.1,43.15,42.0,43.15,542000,2007,6,26
