,Date,Open,High,Low,Close,Volume,Year,Month,Day
32,2007-04-26,13.25,13.25,13.05,13.15,1354000,2007,4,26
33,2007-04-27,13.15,13.9,13.2,13.55,2522500,2007,4,27
34,2007-04-30,13.55,13.85,13.55,13.8,1658000,2007,4,30
35,2007-05-02,13.8,14.15,13.6,13.6,2374000,2007,5,2
36,2007-05-03,13.6,13.9,13.6,13.6,1391500,2007,5,3
53,2007-05-28,15.5,15.8,15.35,15.65,1932500,2007,5,28
54,2007-05-29,15.65,16.65,15.4,16.55,14785000,2007,5,29
55,2007-05-30,16.55,17.55,16.35,17.35,17756500,2007,5,30
56,2007-05-31,17.35,17.9,17.1,17.15,6042000,2007,5,31
57,2007-06-01,17.15,17.35,16.6,16.85,2738500,2007,6,1
58,2007-06-04,16.85,17.3,16.4,16.45,6736000,2007,6,4
59,2007-06-05,16.45,16.95,16.4,16.5,3252500,2007,6,5
60,2007-06-06,16.5,17.0,16.4,16.6,2881500,2007,6,6
77,2007-06-29,19.55,19.85,19.1,19.25,2345000,2007,6,29
78,2007-07-02,19.25,19.55,19.1,19.2,2090500,2007,7,2
79,2007-07-03,19.2,19.5,18.5,18.85,2494000,2007,7,3
80,2007-07-04,18.85,19.15,18.7,18.95,1520000,2007,7,4
81,2007-07-05,18.95,19.35,19.0,19.0,1594000,2007,7,5
82,2007-07-06,19.0,19.25,18.55,18.8,2216000,2007,7,6
83,2007-07-09,18.8,19.8,18.6,19.8,7488500,2007,7,9
84,2007-07-10,19.8,20.8,20.15,20.8,11633500,2007,7,10
85,2007-07-11,20.8,21.8,20.85,21.8,10730000,2007,7,11
86,2007-07-12,21.8,22.85,22.85,22.85,950000,2007,7,12
87,2007-07-13,22.85,23.95,22.5,23.5,17387000,2007,7,13
88,2007-07-16,23.5,23.55,22.35,22.35,6756000,2007,7,16
89,2007-07-17,22.35,22.75,21.55,22.25,4975500,2007,7,17
90,2007-07-18,22.25,22.15,21.15,21.15,3062500,2007,7,18
91,2007-07-19,21.15,20.85,20.1,20.1,2299500,2007,7,19
92,2007-07-20,20.1,19.45,19.1,19.1,3169000,2007,7,20
93,2007-07-23,19.1,20.1,19.4,20.1,2382000,2007,7,23
94,2007-07-24,20.1,21.1,20.25,20.35,7542500,2007,7,24
95,2007-07-25,20.35,20.5,19.35,19.75,2220000,2007,7,25
