,open,high,low,close,volume,Date,Year,Month,Day
0,6.3,6.31,6.17,6.21,2280500,2018-01-01,2018,1,1
1,6.13,6.54,6.13,6.49,18297000,2018-01-02,2018,1,2
2,6.49,6.99,6.4,6.75,47374000,2018-01-03,2018,1,3
19,6.76,7.07,6.62,6.89,39164000,2018-01-26,2018,1,26
20,6.85,6.89,6.71,6.73,2129000,2018-01-29,2018,1,29
21,6.7,6.85,6.7,6.76,2481500,2018-01-30,2018,1,30
22,6.79,6.8,6.63,6.68,3957000,2018-01-31,2018,1,31
23,6.69,6.78,6.63,6.73,2421500,2018-02-01,2018,2,1
40,6.19,6.25,6.12,6.2,4162000,2018-02-27,2018,2,27
41,6.16,6.25,6.16,6.21,534000,2018-02-28,2018,2,28
42,6.2,6.47,6.2,6.43,4690000,2018-03-01,2018,3,1
43,6.4,6.54,6.35,6.38,8943500,2018-03-02,2018,3,2
44,6.38,6.42,6.28,6.31,1369500,2018-03-05,2018,3,5
45,6.35,6.37,6.26,6.26,1744500,2018-03-06,2018,3,6
46,6.25,6.33,6.25,6.29,1708000,2018-03-07,2018,3,7
47,6.3,6.3,6.15,6.17,9032000,2018-03-08,2018,3,8
48,6.17,6.24,6.15,6.17,666500,2018-03-09,2018,3,9
49,6.13,6.26,6.13,6.24,2255500,2018-03-12,2018,3,12
50,6.26,6.28,6.2,6.25,807500,2018-03-13,2018,3,13
51,6.21,6.3,6.21,6.28,1219000,2018-03-14,2018,3,14
52,6.25,6.41,6.25,6.31,2699000,2018-03-15,2018,3,15
53,6.32,6.4,6.25,6.26,2330000,2018-03-16,2018,3,16
54,6.28,6.33,6.2,6.22,2239500,2018-03-19,2018,3,19
55,6.25,6.36,6.21,6.26,5397500,2018-03-20,2018,3,20
56,6.26,6.4,6.26,6.3,4567500,2018-03-21,2018,3,21
57,6.32,6.48,6.29,6.31,8689000,2018-03-22,2018,3,22
58,6.3,6.49,6.3,6.32,8051000,2018-03-26,2018,3,26
59,6.45,6.7,6.45,6.57,30279500,2018-03-27,2018,3,27
60,6.63,6.79,6.6,6.75,22616000,2018-03-28,2018,3,28
61,6.79,7.02,6.7,6.99,50510000,2018-03-29,2018,3,29
62,7.06,7.19,6.96,7.01,23825000,2018-03-30,2018,3,30
63,7.17,7.17,6.85,6.88,9276500,2018-04-02,2018,4,2
64,6.93,7.18,6.8,6.96,27817000,2018-04-03,2018,4,3
65,7.03,7.15,6.95,6.99,12784500,2018-04-04,2018,4,4
66,7.03,7.05,6.93,7.0,6235000,2018-04-05,2018,4,5
67,7.04,7.14,6.9,6.91,4905000,2018-04-06,2018,4,6
68,6.95,6.95,6.82,6.84,3339000,2018-04-09,2018,4,9
69,6.82,6.9,6.76,6.88,3853000,2018-04-10,2018,4,10
70,6.9,6.98,6.81,6.87,4773500,2018-04-11,2018,4,11
71,6.9,7.14,6.81,7.06,47541000,2018-04-12,2018,4,12
72,7.2,7.28,7.07,7.11,36158500,2018-04-13,2018,4,13
73,7.15,7.15,6.98,7.04,10271500,2018-04-16,2018,4,16
74,7.09,7.13,7.0,7.1,5260500,2018-04-17,2018,4,17
75,7.1,7.12,6.95,7.0,11228000,2018-04-18,2018,4,18
76,6.95,7.0,6.79,6.9,12119500,2018-04-19,2018,4,19
77,6.85,7.0,6.78,6.87,4207000,2018-04-20,2018,4,20
78,6.86,7.09,6.85,6.95,4725000,2018-04-23,2018,4,23
79,6.99,7.05,6.83,6.85,3926000,2018-04-24,2018,4,24
80,6.91,6.91,6.71,6.83,4203000,2018-04-25,2018,4,25
81,6.85,6.9,6.71,6.75,4169500,2018-04-26,2018,4,26
82,6.73,6.8,6.64,6.68,6353500,2018-04-27,2018,4,27
83,6.7,6.74,6.6,6.71,4084000,2018-04-30,2018,4,30
84,6.74,6.76,6.65,6.71,767000,2018-05-02,2018,5,2
85,6.71,6.74,6.55,6.56,3482000,2018-05-03,2018,5,3
86,6.57,6.69,6.53,6.66,2219000,2018-05-04,2018,5,4
87,6.62,6.65,6.54,6.56,1889500,2018-05-07,2018,5,7
88,6.6,6.66,6.55,6.56,3157500,2018-05-08,2018,5,8
89,6.6,6.75,6.44,6.49,3483500,2018-05-09,2018,5,9
90,6.5,6.55,6.36,6.39,4296500,2018-05-10,2018,5,10
