,Date,Open,High,Low,Close,Volume,Year,Month,Day
32,2005-10-03,61.0,64.05,60.5,62.55,532500,2005,10,3
65,2005-11-24,70.0,73.5,70.0,73.5,344000,2005,11,24
66,2005-11-25,73.5,77.15,74.0,77.0,376000,2005,11,25
67,2005-11-28,77.0,79.0,76.1,78.0,203000,2005,11,28
68,2005-11-29,78.0,78.2,75.35,75.6,139000,2005,11,29
69,2005-11-30,75.6,77.0,72.65,75.95,317000,2005,11,30
70,2005-12-01,75.95,79.7,75.75,79.7,769000,2005,12,1
71,2005-12-02,79.7,83.65,80.3,82.45,330000,2005,12,2
72,2005-12-05,82.45,84.5,80.5,81.8,195000,2005,12,5
73,2005-12-06,81.8,85.05,77.75,81.25,452500,2005,12,6
74,2005-12-07,81.25,83.0,81.35,82.0,255500,2005,12,7
75,2005-12-08,82.0,83.0,81.0,81.0,182000,2005,12,8
76,2005-12-09,81.0,81.5,79.6,80.05,51000,2005,12,9
49,2005-10-26,65.4,68.0,63.15,63.75,35000,2005,10,26
50,2005-10-27,63.75,64.0,62.4,63.05,18000,2005,10,27
51,2005-10-31,63.05,63.4,60.0,62.4,24000,2005,10,31
52,2005-11-02,62.4,63.5,62.0,62.5,20000,2005,11,2
53,2005-11-07,62.5,64.0,62.0,63.0,44500,2005,11,7
54,2005-11-08,63.0,65.95,62.6,64.6,96500,2005,11,8
55,2005-11-10,64.6,67.8,65.25,67.8,182500,2005,11,10
56,2005-11-11,67.8,71.15,68.4,68.55,151500,2005,11,11
57,2005-11-14,68.55,69.3,66.6,67.9,59000,2005,11,14
58,2005-11-15,67.9,68.6,67.1,68.05,73500,2005,11,15
59,2005-11-16,68.05,68.5,67.0,68.0,111000,2005,11,16
60,2005-11-17,68.0,67.6,66.1,67.0,58000,2005,11,17
61,2005-11-18,67.0,70.35,66.5,68.9,184500,2005,11,18
62,2005-11-21,68.9,69.85,67.85,67.85,38000,2005,11,21
63,2005-11-22,67.85,69.85,68.5,69.0,91000,2005,11,22
64,2005-11-23,69.0,71.15,68.5,70.0,238000,2005,11,23
0,2005-08-17,10.0,49.0,35.0,42.4,15000,2005,8,17
1,2005-08-19,42.4,42.5,41.25,42.4,6500,2005,8,19
2,2005-08-22,42.4,43.5,42.25,43.0,29000,2005,8,22
3,2005-08-23,43.0,43.0,40.85,42.6,16500,2005,8,23
4,2005-08-24,42.6,42.95,41.5,41.6,13000,2005,8,24
5,2005-08-25,41.6,41.5,41.25,41.25,1500,2005,8,25
6,2005-08-26,41.25,41.0,40.75,41.0,2500,2005,8,26
7,2005-08-29,41.0,42.5,40.0,42.25,31500,2005,8,29
8,2005-08-30,42.25,42.9,42.85,42.85,5000,2005,8,30
9,2005-08-31,42.85,43.2,42.0,43.15,17000,2005,8,31
26,2005-09-23,55.55,58.3,56.5,58.3,46500,2005,9,23
27,2005-09-26,58.3,61.2,58.0,60.1,129000,2005,9,26
28,2005-09-27,60.1,62.45,58.6,60.0,91500,2005,9,27
29,2005-09-28,60.0,61.0,59.4,59.6,55000,2005,9,28
30,2005-09-29,59.6,60.4,58.6,60.0,72500,2005,9,29
31,2005-09-30,60.0,62.0,59.0,61.0,105500,2005,9,30
33,2005-10-04,62.55,65.65,62.5,65.65,262000,2005,10,4
34,2005-10-05,65.65,68.9,65.65,68.9,214000,2005,10,5
35,2005-10-06,68.9,72.0,69.5,71.0,511500,2005,10,6
36,2005-10-07,71.0,73.0,68.7,71.25,375500,2005,10,7
37,2005-10-10,71.25,72.1,69.0,71.5,31500,2005,10,10
38,2005-10-11,71.5,72.7,70.5,71.0,43500,2005,10,11
39,2005-10-12,71.0,71.5,67.5,67.5,96500,2005,10,12
40,2005-10-13,67.5,69.0,65.05,66.45,60500,2005,10,13
41,2005-10-14,66.45,67.5,66.15,67.0,5500,2005,10,14
42,2005-10-17,67.0,69.95,66.0,66.0,33000,2005,10,17
43,2005-10-18,66.0,66.05,64.0,64.0,36500,2005,10,18
44,2005-10-19,64.0,65.0,62.5,64.95,16500,2005,10,19
45,2005-10-20,64.95,66.5,62.0,66.5,47000,2005,10,20
46,2005-10-21,66.5,69.7,63.2,64.2,74500,2005,10,21
47,2005-10-24,64.2,66.0,62.6,64.0,49500,2005,10,24
48,2005-10-25,64.0,67.2,64.5,65.4,85500,2005,10,25
77,2005-12-12,80.05,84.05,80.3,84.05,1521500,2005,12,12
78,2005-12-13,84.05,88.25,85.5,87.45,1139000,2005,12,13
79,2005-12-14,87.45,88.35,84.15,86.45,322000,2005,12,14
80,2005-12-15,86.45,86.95,85.2,86.65,61500,2005,12,15
81,2005-12-16,86.65,87.0,85.0,85.45,241000,2005,12,16
82,2005-12-19,85.45,85.95,84.0,84.5,112500,2005,12,19
83,2005-12-20,84.5,83.8,82.5,83.0,108000,2005,12,20
84,2005-12-21,83.0,83.5,82.5,82.95,170000,2005,12,21
85,2005-12-22,82.95,83.5,82.0,83.2,195500,2005,12,22
86,2005-12-23,83.2,83.5,82.0,82.5,143000,2005,12,23
87,2005-12-26,82.5,83.0,80.5,81.9,104000,2005,12,26
88,2005-12-27,81.9,83.4,80.5,83.0,832000,2005,12,27
89,2005-12-28,83.0,83.75,82.5,82.8,30000,2005,12,28
90,2005-12-29,82.8,83.4,82.05,83.4,44000,2005,12,29
91,2005-12-30,83.4,87.0,83.85,86.5,281500,2005,12,30
10,2005-09-01,43.15,43.5,43.0,43.1,27500,2005,9,1
11,2005-09-02,43.1,43.4,43.0,43.0,5500,2005,9,2
12,2005-09-05,43.0,44.1,43.0,44.0,17500,2005,9,5
13,2005-09-06,44.0,46.2,44.0,46.1,25500,2005,9,6
14,2005-09-07,46.1,48.4,48.0,48.4,29000,2005,9,7
15,2005-09-08,48.4,50.8,50.8,50.8,4500,2005,9,8
16,2005-09-09,50.8,53.3,53.3,53.3,3500,2005,9,9
17,2005-09-12,53.3,55.95,54.0,55.95,289500,2005,9,12
18,2005-09-13,55.95,58.7,56.8,58.7,62000,2005,9,13
19,2005-09-14,58.7,61.6,59.5,61.6,44000,2005,9,14
20,2005-09-15,61.6,64.65,64.0,64.65,119000,2005,9,15
21,2005-09-16,64.65,67.85,67.0,67.85,101500,2005,9,16
22,2005-09-19,67.85,71.2,64.5,64.5,241500,2005,9,19
23,2005-09-20,64.5,64.5,61.3,61.3,212500,2005,9,20
24,2005-09-21,61.3,64.3,58.25,58.25,154000,2005,9,21
25,2005-09-22,58.25,57.2,55.5,55.55,103000,2005,9,22
92,2006-01-02,86.5,89.4,86.55,89.4,219000,2006,1,2
172,2006-05-08,102.0,107.1,102.0,107.1,622000,2006,5,8
171,2006-05-05,101.1,103.0,99.0,102.0,171000,2006,5,5
170,2006-05-04,102.5,102.1,100.25,101.1,23500,2006,5,4
169,2006-05-03,100.75,103.9,101.5,102.5,215500,2006,5,3
168,2006-05-02,98.5,101.0,99.25,100.75,91500,2006,5,2
167,2006-04-28,102.5,102.0,98.0,98.5,166500,2006,4,28
166,2006-04-27,105.0,105.95,101.15,102.5,127000,2006,4,27
165,2006-04-26,107.25,109.0,104.25,105.0,156500,2006,4,26
