,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2001-01-01,15.0,15.0,14.8,14.85,228500,2001,1,1
1,2001-01-02,14.85,15.5,15.0,15.0,633500,2001,1,2
2,2001-01-03,15.0,15.35,14.9,15.2,457000,2001,1,3
19,2001-01-26,13.7,13.85,13.6,13.75,220000,2001,1,26
20,2001-01-29,13.75,13.85,13.65,13.7,133000,2001,1,29
53,2001-03-22,11.85,11.8,11.0,11.6,141500,2001,3,22
54,2001-03-26,11.6,11.65,11.35,11.55,37000,2001,3,26
87,2001-05-15,12.25,12.3,12.2,12.25,55500,2001,5,15
88,2001-05-16,12.25,12.5,12.25,12.35,158000,2001,5,16
89,2001-05-17,12.35,12.4,12.25,12.25,44500,2001,5,17
90,2001-05-18,12.25,12.4,12.25,12.35,53000,2001,5,18
91,2001-05-21,12.35,12.5,12.35,12.5,69000,2001,5,21
92,2001-05-22,12.5,12.45,12.4,12.4,50000,2001,5,22
93,2001-05-23,12.4,12.4,12.3,12.3,63000,2001,5,23
94,2001-05-24,12.3,12.5,12.3,12.5,65500,2001,5,24
95,2001-05-25,12.5,12.45,12.35,12.4,60000,2001,5,25
96,2001-05-28,12.4,12.55,12.45,12.5,38500,2001,5,28
97,2001-05-29,12.5,12.6,12.55,12.55,71000,2001,5,29
98,2001-05-30,12.55,13.2,12.55,13.05,570500,2001,5,30
99,2001-05-31,13.05,13.05,12.85,13.0,130500,2001,5,31
100,2001-06-01,13.0,13.25,12.85,13.1,343500,2001,6,1
101,2001-06-04,13.1,14.0,13.2,13.7,1177500,2001,6,4
102,2001-06-06,13.7,13.8,13.1,13.1,349500,2001,6,6
103,2001-06-07,13.1,13.35,13.05,13.15,200000,2001,6,7
104,2001-06-08,13.15,13.15,13.0,13.1,219000,2001,6,8
105,2001-06-11,13.1,13.45,13.2,13.35,135000,2001,6,11
106,2001-06-12,13.35,13.5,13.3,13.35,84000,2001,6,12
107,2001-06-13,13.35,13.7,13.3,13.6,198500,2001,6,13
108,2001-06-14,13.6,14.05,13.55,13.9,1402000,2001,6,14
109,2001-06-15,13.9,14.0,13.8,13.9,215000,2001,6,15
110,2001-06-18,13.9,14.15,13.85,13.9,642500,2001,6,18
111,2001-06-19,13.9,14.0,13.4,13.55,623000,2001,6,19
112,2001-06-20,13.55,13.9,13.5,13.7,217500,2001,6,20
113,2001-06-21,13.7,13.75,13.3,13.55,283000,2001,6,21
114,2001-06-22,13.55,13.4,13.25,13.3,108500,2001,6,22
115,2001-06-25,13.3,13.5,13.2,13.3,54500,2001,6,25
116,2001-06-26,13.3,13.5,13.05,13.2,322500,2001,6,26
117,2001-06-27,13.2,13.25,13.1,13.2,45500,2001,6,27
118,2001-06-28,13.2,13.25,13.15,13.15,52000,2001,6,28
119,2001-06-29,13.15,13.15,12.9,12.9,141000,2001,6,29
120,2001-07-03,12.9,13.0,12.85,12.85,80000,2001,7,3
121,2001-07-04,12.85,13.05,12.75,12.8,241500,2001,7,4
122,2001-07-05,12.8,12.9,12.65,12.7,58500,2001,7,5
123,2001-07-06,12.7,12.65,12.4,12.5,129000,2001,7,6
124,2001-07-09,12.5,12.7,12.5,12.5,44000,2001,7,9
125,2001-07-10,12.5,12.6,12.45,12.55,64500,2001,7,10
126,2001-07-11,12.55,12.65,12.45,12.55,70000,2001,7,11
127,2001-07-12,12.55,12.75,12.5,12.7,133000,2001,7,12
128,2001-07-13,12.7,12.75,12.55,12.6,89500,2001,7,13
129,2001-07-16,12.6,12.8,12.75,12.75,52500,2001,7,16
130,2001-07-17,12.75,12.6,12.45,12.5,60500,2001,7,17
131,2001-07-18,12.5,12.55,12.4,12.4,74500,2001,7,18
132,2001-07-19,12.4,12.5,12.35,12.4,81000,2001,7,19
133,2001-07-20,12.4,12.4,11.9,11.95,297000,2001,7,20
134,2001-07-23,11.95,12.05,11.85,11.9,171000,2001,7,23
135,2001-07-24,11.9,12.05,11.9,12.0,338000,2001,7,24
136,2001-07-25,12.0,12.05,11.75,11.75,231000,2001,7,25
137,2001-07-26,11.75,11.85,11.7,11.75,152000,2001,7,26
138,2001-07-27,11.75,11.85,11.65,11.8,98000,2001,7,27
139,2001-07-30,11.8,11.85,11.65,11.8,62500,2001,7,30
140,2001-07-31,11.8,11.9,11.6,11.7,117500,2001,7,31
141,2001-08-01,11.7,12.0,11.7,11.95,104000,2001,8,1
142,2001-08-02,11.95,12.25,11.85,12.25,160000,2001,8,2
143,2001-08-03,12.25,12.35,12.2,12.2,128000,2001,8,3
144,2001-08-06,12.2,12.5,12.3,12.35,131500,2001,8,6
145,2001-08-07,12.35,12.4,12.3,12.3,61500,2001,8,7
146,2001-08-08,12.3,12.3,12.2,12.2,34000,2001,8,8
147,2001-08-09,12.2,12.25,12.2,12.2,14500,2001,8,9
148,2001-08-10,12.2,12.25,12.15,12.25,23500,2001,8,10
149,2001-08-13,12.25,12.6,12.4,12.55,94500,2001,8,13
150,2001-08-15,12.55,12.6,12.45,12.45,47500,2001,8,15
151,2001-08-16,12.45,12.95,12.6,12.8,325000,2001,8,16
152,2001-08-17,12.8,13.2,12.9,12.95,178000,2001,8,17
153,2001-08-20,12.95,13.2,12.85,12.85,215500,2001,8,20
154,2001-08-21,12.85,12.9,12.6,12.85,166000,2001,8,21
155,2001-08-22,12.85,13.15,12.95,13.0,331500,2001,8,22
156,2001-08-23,13.0,12.9,12.8,12.9,53500,2001,8,23
157,2001-08-24,12.9,12.85,12.75,12.75,82000,2001,8,24
158,2001-08-27,12.75,12.95,12.85,12.9,45000,2001,8,27
159,2001-08-28,12.9,12.95,12.85,12.85,23000,2001,8,28
160,2001-08-29,12.85,12.9,12.85,12.85,27000,2001,8,29
161,2001-08-30,12.85,13.0,12.8,12.9,31500,2001,8,30
162,2001-08-31,12.9,12.95,12.75,12.75,54500,2001,8,31
163,2001-09-03,12.75,12.75,12.7,12.7,35000,2001,9,3
164,2001-09-04,12.7,12.7,12.5,12.55,74500,2001,9,4
165,2001-09-05,12.55,12.65,12.45,12.65,63000,2001,9,5
166,2001-09-06,12.65,12.8,12.65,12.7,79000,2001,9,6
167,2001-09-07,12.7,12.75,12.65,12.65,33000,2001,9,7
168,2001-09-10,12.65,12.8,12.65,12.75,58500,2001,9,10
169,2001-09-11,12.75,12.8,12.7,12.75,57000,2001,9,11
170,2001-09-12,12.75,12.5,12.2,12.3,209000,2001,9,12
171,2001-09-13,12.3,12.35,12.1,12.1,82000,2001,9,13
172,2001-09-14,12.1,12.1,11.15,11.2,178000,2001,9,14
173,2001-09-24,11.2,11.25,10.65,10.65,42000,2001,9,24
174,2001-09-25,10.65,11.0,10.35,10.85,98000,2001,9,25
175,2001-09-26,10.85,11.5,10.75,11.15,210500,2001,9,26
176,2001-09-27,11.15,11.9,11.45,11.55,89000,2001,9,27
177,2001-09-28,11.55,11.65,11.5,11.5,114000,2001,9,28
178,2001-10-01,11.5,11.55,11.0,11.0,188500,2001,10,1
179,2001-10-02,11.0,11.15,10.7,11.0,29000,2001,10,2
180,2001-10-03,11.0,11.35,11.0,11.15,51500,2001,10,3
181,2001-10-04,11.15,11.5,11.25,11.3,24500,2001,10,4
182,2001-10-05,11.3,11.6,11.3,11.6,81500,2001,10,5
183,2001-10-08,11.6,11.25,11.1,11.15,64000,2001,10,8
184,2001-10-09,11.15,12.05,11.15,12.05,151000,2001,10,9
185,2001-10-10,12.05,12.35,11.75,11.95,134500,2001,10,10
186,2001-10-11,11.95,12.1,12.0,12.05,39000,2001,10,11
187,2001-10-12,12.05,12.45,12.05,12.3,53500,2001,10,12
188,2001-10-15,12.3,12.95,12.55,12.7,166000,2001,10,15
189,2001-10-16,12.7,13.1,12.5,12.65,227500,2001,10,16
190,2001-10-17,12.65,12.8,12.6,12.6,84000,2001,10,17
191,2001-10-18,12.6,12.95,12.65,12.7,131500,2001,10,18
192,2001-10-19,12.7,13.1,12.65,13.0,157000,2001,10,19
193,2001-10-22,13.0,13.4,13.1,13.35,274000,2001,10,22
194,2001-10-23,13.35,13.75,13.3,13.45,448000,2001,10,23
195,2001-10-24,13.45,13.65,13.25,13.55,276500,2001,10,24
196,2001-10-25,13.55,13.85,13.1,13.2,619500,2001,10,25
197,2001-10-26,13.2,13.5,13.25,13.5,71500,2001,10,26
198,2001-10-29,13.5,13.8,13.55,13.6,118500,2001,10,29
199,2001-10-30,13.6,13.6,13.45,13.5,61500,2001,10,30
200,2001-10-31,13.5,13.6,13.4,13.4,107000,2001,10,31
201,2001-11-01,13.4,13.5,13.2,13.2,56500,2001,11,1
202,2001-11-02,13.2,13.95,13.3,13.3,114000,2001,11,2
203,2001-11-05,13.3,13.4,13.2,13.2,58000,2001,11,5
204,2001-11-06,13.2,13.3,13.1,13.1,48000,2001,11,6
205,2001-11-07,13.1,13.25,13.1,13.15,35500,2001,11,7
206,2001-11-08,13.15,13.25,13.05,13.25,40000,2001,11,8
207,2001-11-12,13.25,13.35,13.0,13.0,83000,2001,11,12
208,2001-11-13,13.0,13.0,12.8,13.0,39000,2001,11,13
209,2001-11-14,13.0,13.3,13.0,13.2,52500,2001,11,14
210,2001-11-15,13.2,13.35,13.15,13.2,38500,2001,11,15
211,2001-11-16,13.2,13.65,13.3,13.4,58000,2001,11,16
212,2001-11-19,13.4,13.5,13.4,13.4,13000,2001,11,19
213,2001-11-20,13.4,13.5,13.4,13.4,17000,2001,11,20
214,2001-11-21,13.4,13.4,13.2,13.2,53000,2001,11,21
215,2001-11-22,13.2,13.2,13.2,13.2,7500,2001,11,22
216,2001-11-24,13.2,13.5,13.5,13.5,5500,2001,11,24
217,2001-11-26,13.5,13.4,13.25,13.25,13500,2001,11,26
218,2001-11-27,13.25,13.45,13.25,13.4,21000,2001,11,27
219,2001-11-28,13.4,13.5,13.4,13.4,22500,2001,11,28
220,2001-11-29,13.4,13.4,13.3,13.4,26000,2001,11,29
221,2001-12-01,13.4,13.45,13.3,13.4,43000,2001,12,1
222,2001-12-03,13.4,13.55,13.45,13.5,26500,2001,12,3
223,2001-12-04,13.5,13.6,13.35,13.6,38500,2001,12,4
224,2001-12-05,13.6,13.6,13.55,13.6,34500,2001,12,5
225,2001-12-06,13.6,13.75,13.6,13.6,72500,2001,12,6
226,2001-12-08,13.6,13.75,13.65,13.75,34500,2001,12,8
227,2001-12-10,13.75,13.75,13.65,13.75,56500,2001,12,10
228,2001-12-11,13.75,13.8,13.7,13.75,60000,2001,12,11
229,2001-12-12,13.75,13.85,13.75,13.8,29500,2001,12,12
230,2001-12-15,13.8,13.85,13.8,13.85,51500,2001,12,15
231,2001-12-20,13.85,13.95,13.75,13.85,133000,2001,12,20
232,2001-12-21,13.85,14.05,13.8,13.95,222500,2001,12,21
233,2001-12-24,13.95,13.5,13.15,13.3,109000,2001,12,24
234,2001-12-26,13.3,13.55,13.3,13.5,92000,2001,12,26
235,2001-12-27,13.5,13.5,12.95,13.4,140000,2001,12,27
236,2001-12-28,13.4,13.4,12.95,13.4,66000,2001,12,28
237,2001-12-31,13.4,13.35,13.1,13.3,47500,2001,12,31
55,2001-03-27,11.55,11.6,11.4,11.6,81500,2001,3,27
56,2001-03-28,11.6,11.7,11.4,11.45,64500,2001,3,28
57,2001-03-29,11.45,11.5,11.35,11.4,60500,2001,3,29
58,2001-03-30,11.4,11.6,11.3,11.3,67000,2001,3,30
59,2001-04-02,11.3,11.55,11.4,11.55,38500,2001,4,2
60,2001-04-03,11.55,11.9,11.5,11.6,220500,2001,4,3
61,2001-04-06,11.6,12.2,11.65,11.85,200500,2001,4,6
62,2001-04-09,11.85,12.1,11.8,11.9,143000,2001,4,9
63,2001-04-10,11.9,12.0,11.9,11.95,171500,2001,4,10
64,2001-04-11,11.95,12.15,11.95,12.0,131000,2001,4,11
65,2001-04-12,12.0,12.15,11.95,12.1,158000,2001,4,12
66,2001-04-13,12.1,12.3,12.0,12.25,247000,2001,4,13
67,2001-04-16,12.25,12.6,12.25,12.3,365500,2001,4,16
68,2001-04-17,12.3,12.4,12.15,12.3,140500,2001,4,17
69,2001-04-18,12.3,12.6,12.3,12.5,247000,2001,4,18
70,2001-04-19,12.5,12.6,12.25,12.3,212500,2001,4,19
22,2001-01-31,14.0,15.15,14.0,15.1,1794000,2001,1,31
23,2001-02-01,15.1,15.25,14.75,14.8,799500,2001,2,1
24,2001-02-02,14.8,15.25,14.8,15.1,1052000,2001,2,2
25,2001-02-06,15.1,15.4,15.15,15.2,730000,2001,2,6
26,2001-02-07,15.2,15.55,15.2,15.5,1189500,2001,2,7
27,2001-02-08,15.5,15.65,15.4,15.5,1379000,2001,2,8
28,2001-02-09,15.5,15.85,15.45,15.85,1526000,2001,2,9
29,2001-02-12,15.85,16.45,15.55,15.65,5954500,2001,2,12
30,2001-02-13,15.65,15.75,15.25,15.3,1164500,2001,2,13
31,2001-02-14,15.3,15.4,15.25,15.4,1164000,2001,2,14
32,2001-02-15,15.4,15.6,15.3,15.3,566000,2001,2,15
33,2001-02-16,15.3,15.45,15.15,15.25,512000,2001,2,16
34,2001-02-19,15.25,15.35,15.15,15.3,158000,2001,2,19
35,2001-02-20,15.3,15.3,15.0,15.0,256000,2001,2,20
36,2001-02-21,15.0,15.25,14.95,15.1,351000,2001,2,21
37,2001-02-22,15.1,15.15,15.0,15.05,249500,2001,2,22
21,2001-01-30,13.7,14.0,13.7,14.0,178000,2001,1,30
38,2001-02-23,15.05,15.1,14.75,14.85,390000,2001,2,23
39,2001-02-26,14.85,14.75,14.5,14.65,137500,2001,2,26
40,2001-02-27,14.65,14.75,14.55,14.75,86500,2001,2,27
41,2001-02-28,14.75,14.7,14.5,14.55,147000,2001,2,28
42,2001-03-01,14.55,14.75,14.5,14.7,134000,2001,3,1
43,2001-03-02,14.7,14.75,14.6,14.65,123500,2001,3,2
44,2001-03-09,14.65,14.7,14.5,14.5,74000,2001,3,9
45,2001-03-12,14.5,14.55,14.45,14.45,79500,2001,3,12
46,2001-03-13,14.45,14.5,14.25,14.45,116000,2001,3,13
