,Date,Open,High,Low,Close,Volume,Year,Month,Day
0,2005-03-07,10.0,240.0,200.0,214.1,1674000,2005,3,7
1,2005-03-08,214.1,219.7,205.0,208.0,1193200,2005,3,8
34,2005-04-26,125.3,126.0,121.05,123.75,230700,2005,4,26
35,2005-04-27,123.75,125.5,122.0,123.5,207400,2005,4,27
68,2005-06-13,136.5,140.0,137.6,138.0,369000,2005,6,13
69,2005-06-14,138.0,138.4,135.1,135.7,228400,2005,6,14
70,2005-06-15,135.7,137.9,135.55,136.3,234200,2005,6,15
71,2005-06-16,136.3,143.1,135.0,140.0,1858400,2005,6,16
72,2005-06-17,140.0,147.0,139.1,147.0,2731300,2005,6,17
73,2005-06-20,147.0,154.35,151.0,154.35,880600,2005,6,20
74,2005-06-21,154.35,162.05,150.6,160.7,3708900,2005,6,21
75,2005-06-22,160.7,167.25,155.5,159.2,6718200,2005,6,22
76,2005-06-23,159.2,160.75,153.25,156.5,3794300,2005,6,23
77,2005-06-24,156.5,160.5,154.85,155.45,1993600,2005,6,24
78,2005-06-27,155.45,159.9,152.5,156.5,2828900,2005,6,27
79,2005-06-28,156.5,163.0,156.9,159.85,3004800,2005,6,28
80,2005-06-29,159.85,162.4,158.8,159.5,2058000,2005,6,29
81,2005-06-30,159.5,161.4,158.0,158.0,1024100,2005,6,30
82,2005-07-01,158.0,161.45,158.5,159.0,1226000,2005,7,1
83,2005-07-04,159.0,161.0,158.5,158.85,559400,2005,7,4
84,2005-07-05,158.85,160.65,158.5,159.4,905100,2005,7,5
85,2005-07-06,159.4,161.85,158.8,160.2,1368000,2005,7,6
86,2005-07-07,160.2,168.2,162.25,168.2,2443600,2005,7,7
87,2005-07-08,168.2,176.6,170.0,176.6,2457100,2005,7,8
88,2005-07-11,176.6,182.8,172.5,175.0,3926000,2005,7,11
89,2005-07-12,175.0,178.25,170.0,171.45,1563300,2005,7,12
90,2005-07-13,171.45,174.5,171.0,172.0,1062400,2005,7,13
91,2005-07-14,172.0,174.0,170.0,170.7,431000,2005,7,14
92,2005-07-15,170.7,173.75,169.15,171.9,664000,2005,7,15
93,2005-07-18,171.9,172.0,167.15,168.0,420200,2005,7,18
94,2005-07-19,168.0,167.6,159.6,162.25,877100,2005,7,19
95,2005-07-20,162.25,166.4,162.0,166.4,787000,2005,7,20
96,2005-07-21,166.4,169.0,164.5,165.5,997200,2005,7,21
