,Australian Dollar,Bahraini Dinar,Canadian Dollar,Chinese Yuan,Danish Krone,Hongkong Dollar,Japnese Yen,Kuwaiti Dinar,Malaysian Ringgit,New Zealand Dollar,Norwegian Krone,Omani Rial,Qatari Rial,Singaporian Dollar,Swedish Krone,Swiss Franc,Saudi Arabian Rial,Thai Baht,Turkish Lira,UAE Dirham,UK Pound Sterling,U.S. Dollar,Euro, SDR,Year,Month
0,5.3421,10.0164,4.432,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Mar
1,5.3421,10.0164,4.4287,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Apr
2,5.3421,10.0164,4.4299,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,May
3,5.3421,10.0164,4.4307,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Jun
4,5.3421,10.0164,4.4378,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Jul
5,5.3421,10.0164,4.4365,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Aug
6,5.3421,10.0164,4.432,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Sep
7,5.3421,10.0164,4.4193,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Oct
8,5.3421,10.0164,4.4082,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Nov
9,5.3421,10.0164,4.4037,1.9375,0.6905,,0.0132,13.3552,1.5581,6.632,0.6678,13.3552,1.0016,1.5581,0.922,1.0907,1.0599,0.2568,0.5276,1.0016,13.3391,4.7697,,4.7619,1966.0,Dec
