,Year,Sector,Product,Amount,Note: Value in Millions
0,1999,Agriculture,Important Crops,322835000000,
1,2000,Agriculture,Important Crops,315037000000,
2,2001,Agriculture,Important Crops,296705000000,
3,2002,Agriculture,Important Crops,344271000000,
4,2003,Agriculture,Important Crops,420938000000,
5,2004,Agriculture,Important Crops,457230000000,
6,2005,Agriculture,Important Crops,449025000000,
7,2006,Agriculture,Important Crops,514579000000,
8,2007,Agriculture,Important Crops,690748000000,
9,2008,Agriculture,Important Crops,985311000000,
10,2009,Agriculture,Important Crops,1058365000000,
11,2010,Agriculture,Important Crops,1532889000000,
12,2011,Agriculture,Important Crops,1236453000000,
13,2012,Agriculture,Important Crops,1411388000000,
14,2013,Agriculture,Important Crops,1760329000000,
15,2014,Agriculture,Important Crops,1735888000000,
16,2015,Agriculture,Important Crops,1718029000000,
17,2016,Agriculture,Important Crops,1827252000000,
18,2017,Agriculture,Important Crops,1890526000000,
19,2018,Agriculture,Important Crops,1778254000000,
20,1999,Agriculture,Other crops,186561000000,
21,2000,Agriculture,Other crops,189530000000,
22,2001,Agriculture,Other crops,195036000000,
23,2002,Agriculture,Other crops,192036000000,
24,2003,Agriculture,Other crops,205434000000,
25,2004,Agriculture,Other crops,247511000000,
26,2005,Agriculture,Other crops,256777000000,
27,2006,Agriculture,Other crops,293478000000,
28,2007,Agriculture,Other crops,333499000000,
29,2008,Agriculture,Other crops,392163000000,
30,2009,Agriculture,Other crops,423866000000,
31,2010,Agriculture,Other crops,552499000000,
32,2011,Agriculture,Other crops,586669000000,
33,2012,Agriculture,Other crops,639078000000,
34,2013,Agriculture,Other crops,695138000000,
35,2014,Agriculture,Other crops,769867000000,
36,2015,Agriculture,Other crops,739842000000,
37,2016,Agriculture,Other crops,811971000000,
38,2017,Agriculture,Other crops,873557000000,
39,2018,Agriculture,Other crops,873215000000,
40,1999,Agriculture,Cotton Grinning,42620000000,
41,2000,Agriculture,Cotton Grinning,46966000000,
42,2001,Agriculture,Cotton Grinning,43064000000,
43,2002,Agriculture,Cotton Grinning,49470000000,
44,2003,Agriculture,Cotton Grinning,62513000000,
45,2004,Agriculture,Cotton Grinning,60650000000,
46,2005,Agriculture,Cotton Grinning,60472000000,
47,2006,Agriculture,Cotton Grinning,62933000000,
48,2007,Agriculture,Cotton Grinning,73744000000,
49,2008,Agriculture,Cotton Grinning,83239000000,
50,2009,Agriculture,Cotton Grinning,122585000000,
51,2010,Agriculture,Cotton Grinning,224129000000,
52,2011,Agriculture,Cotton Grinning,143488000000,
53,2012,Agriculture,Cotton Grinning,142087000000,
54,2013,Agriculture,Cotton Grinning,157467000000,
55,2014,Agriculture,Cotton Grinning,184347000000,
56,2015,Agriculture,Cotton Grinning,162519000000,
57,2016,Agriculture,Cotton Grinning,187240000000,
58,2017,Agriculture,Cotton Grinning,199946000000,
59,2018,Agriculture,Cotton Grinning,172941000000,
60,1999,Agriculture,Livestock,467044000000,
61,2000,Agriculture,Livestock,497101000000,
